year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,558,600,-2,849,851,-2,B6,49,N793JB,JFK,PBI,149,1028,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,853,856,-3,B6,71,N657JB,JFK,TPA,158,1005,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,923,937,-14,UA,1124,N53441,EWR,SFO,361,2565,6,0,2013-01-01T11:00:00Z
2013,1,1,559,600,-1,941,910,31,AA,707,N3DUAA,LGA,DFW,257,1389,6,0,2013-01-01T11:00:00Z
2013,1,1,559,559,0,702,706,-4,B6,1806,N708JB,JFK,BOS,44,187,5,59,2013-01-01T10:00:00Z
2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,851,858,-7,B6,371,N595JB,LGA,FLL,152,1076,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,837,825,12,MQ,4650,N542MQ,LGA,ATL,134,762,6,0,2013-01-01T11:00:00Z
2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,2013-01-01T11:00:00Z
2013,1,1,602,610,-8,812,820,-8,DL,1919,N971DL,LGA,MSP,170,1020,6,10,2013-01-01T11:00:00Z
2013,1,1,602,605,-3,821,805,16,MQ,4401,N730MQ,LGA,DTW,105,502,6,5,2013-01-01T11:00:00Z
2013,1,1,606,610,-4,858,910,-12,AA,1895,N633AA,EWR,MIA,152,1085,6,10,2013-01-01T11:00:00Z
2013,1,1,606,610,-4,837,845,-8,DL,1743,N3739P,JFK,ATL,128,760,6,10,2013-01-01T11:00:00Z
2013,1,1,607,607,0,858,915,-17,UA,1077,N53442,EWR,MIA,157,1085,6,7,2013-01-01T11:00:00Z
2013,1,1,608,600,8,807,735,32,MQ,3768,N9EAMQ,EWR,ORD,139,719,6,0,2013-01-01T11:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,1,1,613,610,3,925,921,4,B6,135,N635JB,JFK,RSW,175,1074,6,10,2013-01-01T11:00:00Z
2013,1,1,615,615,0,1039,1100,-21,B6,709,N794JB,JFK,SJU,182,1598,6,15,2013-01-01T11:00:00Z
2013,1,1,615,615,0,833,842,-9,DL,575,N326NB,EWR,ATL,120,746,6,15,2013-01-01T11:00:00Z
2013,1,1,622,630,-8,1017,1014,3,US,245,N807AW,EWR,PHX,342,2133,6,30,2013-01-01T11:00:00Z
2013,1,1,623,610,13,920,915,5,AA,1837,N3EMAA,LGA,MIA,153,1096,6,10,2013-01-01T11:00:00Z
2013,1,1,623,627,-4,933,932,1,UA,496,N459UA,LGA,IAH,229,1416,6,27,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,909,840,29,EV,4626,N11107,EWR,MSP,190,1008,6,30,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,840,830,10,MQ,4599,N518MQ,LGA,MSP,166,1020,6,30,2013-01-01T11:00:00Z
2013,1,1,627,630,-3,1018,1018,0,US,27,N535UW,JFK,PHX,330,2153,6,30,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1137,1140,-3,AA,413,N3BAAA,JFK,SJU,192,1598,6,30,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,824,810,14,AA,303,N3CYAA,LGA,ORD,140,733,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,721,740,-19,WN,4646,N273WN,LGA,BWI,40,185,6,30,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,824,833,-9,US,1019,N426US,EWR,CLT,91,529,6,30,2013-01-01T11:00:00Z
2013,1,1,632,608,24,740,728,12,EV,4144,N13553,EWR,IAD,52,212,6,8,2013-01-01T11:00:00Z
2013,1,1,635,635,0,1028,940,48,AA,711,N3GKAA,LGA,DFW,248,1389,6,35,2013-01-01T11:00:00Z
2013,1,1,637,645,-8,930,935,-5,B6,389,N709JB,LGA,MCO,144,950,6,45,2013-01-01T11:00:00Z
2013,1,1,639,640,-1,739,749,-10,B6,1002,N805JB,JFK,BOS,41,187,6,40,2013-01-01T11:00:00Z
2013,1,1,643,646,-3,922,940,-18,UA,556,N497UA,EWR,PBI,146,1023,6,46,2013-01-01T11:00:00Z
2013,1,1,643,645,-2,837,848,-11,US,926,N178US,EWR,CLT,91,529,6,45,2013-01-01T11:00:00Z
2013,1,1,644,636,8,931,940,-9,UA,1701,N75435,EWR,FLL,151,1065,6,36,2013-01-01T11:00:00Z
2013,1,1,645,647,-2,815,810,5,B6,102,N796JB,JFK,BUF,63,301,6,47,2013-01-01T11:00:00Z
2013,1,1,646,645,1,910,916,-6,UA,883,N569UA,LGA,DEN,243,1620,6,45,2013-01-01T11:00:00Z
2013,1,1,646,645,1,1023,1030,-7,UA,1496,N38727,EWR,SNA,380,2434,6,45,2013-01-01T11:00:00Z
2013,1,1,651,655,-4,936,942,-6,B6,203,N558JB,JFK,LAS,323,2248,6,55,2013-01-01T11:00:00Z
2013,1,1,652,655,-3,932,921,11,B6,117,N178JB,JFK,MSY,191,1182,6,55,2013-01-01T11:00:00Z
2013,1,1,653,700,-7,936,1009,-33,DL,1383,N327NW,LGA,PBI,149,1035,7,0,2013-01-01T12:00:00Z
2013,1,1,655,655,0,1021,1030,-9,DL,1415,N3763D,JFK,SLC,294,1990,6,55,2013-01-01T11:00:00Z
2013,1,1,655,700,-5,1037,1045,-8,DL,1865,N705TW,JFK,SFO,362,2586,7,0,2013-01-01T12:00:00Z
2013,1,1,655,700,-5,1002,1020,-18,DL,2003,N997DL,LGA,MIA,161,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,656,700,-4,854,850,4,AA,305,N4WNAA,LGA,ORD,143,733,7,0,2013-01-01T12:00:00Z
2013,1,1,656,659,-3,949,959,-10,AA,1815,N5FMAA,JFK,MCO,142,944,6,59,2013-01-01T11:00:00Z
2013,1,1,656,705,-9,1007,940,27,MQ,4534,N722MQ,LGA,XNA,233,1147,7,5,2013-01-01T12:00:00Z
2013,1,1,656,700,-4,948,1011,-23,UA,1115,N24212,EWR,TPA,156,997,7,0,2013-01-01T12:00:00Z
2013,1,1,657,700,-3,959,1013,-14,DL,1879,N318NB,LGA,FLL,164,1076,7,0,2013-01-01T12:00:00Z
2013,1,1,658,700,-2,944,939,5,DL,1547,N6703D,LGA,ATL,126,762,7,0,2013-01-01T12:00:00Z
2013,1,1,658,700,-2,1027,1025,2,VX,399,N627VA,JFK,LAX,361,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1015,-7,AA,2279,N3EKAA,LGA,MIA,159,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1007,1,B6,981,N646JB,JFK,FLL,156,1069,7,0,2013-01-01T12:00:00Z
2013,1,1,659,705,-6,907,913,-6,DL,831,N998DL,LGA,DTW,105,502,7,5,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,959,1008,-9,UA,960,N838UA,EWR,RSW,164,1068,7,0,2013-01-01T12:00:00Z
2013,1,1,701,700,1,1123,1154,-31,UA,1203,N77296,EWR,SJU,188,1608,7,0,2013-01-01T12:00:00Z
2013,1,1,702,700,2,1058,1014,44,B6,671,N779JB,JFK,LAX,381,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,709,700,9,852,832,20,UA,1092,N26226,LGA,ORD,135,733,7,0,2013-01-01T12:00:00Z
2013,1,1,711,715,-4,1151,1206,-15,B6,715,N651JB,JFK,SJU,190,1598,7,15,2013-01-01T12:00:00Z
2013,1,1,712,715,-3,1023,1035,-12,AA,825,N3ETAA,JFK,FLL,159,1069,7,15,2013-01-01T12:00:00Z
2013,1,1,715,713,2,911,850,21,UA,544,N841UA,EWR,ORD,156,719,7,13,2013-01-01T12:00:00Z
2013,1,1,717,720,-3,850,840,10,FL,850,N978AT,LGA,MKE,134,738,7,20,2013-01-01T12:00:00Z
2013,1,1,719,721,-2,1017,1012,5,B6,987,N562JB,JFK,MCO,147,944,7,21,2013-01-01T12:00:00Z
2013,1,1,723,725,-2,1013,1017,-4,UA,962,N514UA,EWR,PBI,153,1023,7,25,2013-01-01T12:00:00Z
2013,1,1,724,730,-6,1111,1040,31,AA,715,N541AA,LGA,DFW,254,1389,7,30,2013-01-01T12:00:00Z
2013,1,1,724,725,-1,1020,1030,-10,AS,11,N594AS,EWR,SEA,338,2402,7,25,2013-01-01T12:00:00Z
2013,1,1,725,730,-5,1052,1040,12,AA,2083,N4WRAA,EWR,DFW,238,1372,7,30,2013-01-01T12:00:00Z
2013,1,1,727,730,-3,959,952,7,UA,1162,N37462,EWR,DEN,254,1605,7,30,2013-01-01T12:00:00Z
2013,1,1,728,732,-4,1041,1038,3,UA,473,N488UA,LGA,IAH,238,1416,7,32,2013-01-01T12:00:00Z
2013,1,1,729,730,-1,1049,1115,-26,VX,11,N635VA,JFK,SFO,356,2586,7,30,2013-01-01T12:00:00Z
2013,1,1,732,735,-3,857,858,-1,B6,20,N304JB,JFK,ROC,64,264,7,35,2013-01-01T12:00:00Z
2013,1,1,732,729,3,1041,1039,2,B6,1601,N563JB,LGA,RSW,167,1080,7,29,2013-01-01T12:00:00Z
2013,1,1,732,645,47,1011,941,30,UA,1111,N37456,EWR,MCO,145,937,6,45,2013-01-01T11:00:00Z
2013,1,1,733,736,-3,854,850,4,B6,44,N552JB,JFK,SYR,54,209,7,36,2013-01-01T12:00:00Z
2013,1,1,734,737,-3,1047,1113,-26,B6,643,N625JB,JFK,SFO,350,2586,7,37,2013-01-01T12:00:00Z
2013,1,1,739,745,-6,918,930,-12,AA,309,N4WPAA,LGA,ORD,137,733,7,45,2013-01-01T12:00:00Z
2013,1,1,739,739,0,1104,1038,26,UA,1479,N37408,EWR,IAH,249,1400,7,39,2013-01-01T12:00:00Z
2013,1,1,741,745,-4,1038,1036,2,B6,983,N633JB,LGA,TPA,158,1010,7,45,2013-01-01T12:00:00Z
2013,1,1,743,730,13,1107,1100,7,AA,33,N338AA,JFK,LAX,358,2475,7,30,2013-01-01T12:00:00Z
2013,1,1,743,749,-6,1043,1054,-11,B6,341,N624JB,JFK,SRQ,164,1041,7,49,2013-01-01T12:00:00Z
2013,1,1,743,730,13,1059,1056,3,DL,495,N3760C,JFK,SEA,349,2422,7,30,2013-01-01T12:00:00Z
2013,1,1,745,745,0,1135,1125,10,AA,59,N336AA,JFK,SFO,378,2586,7,45,2013-01-01T12:00:00Z
2013,1,1,746,746,0,1119,1129,-10,UA,1668,N24224,EWR,SFO,373,2565,7,46,2013-01-01T12:00:00Z
2013,1,1,749,710,39,939,850,49,MQ,3737,N508MQ,EWR,ORD,148,719,7,10,2013-01-01T12:00:00Z
2013,1,1,752,755,-3,1041,1059,-18,DL,2263,N325US,LGA,MCO,140,950,7,55,2013-01-01T12:00:00Z
2013,1,1,752,750,2,1025,1029,-4,UA,477,N511UA,LGA,DEN,249,1620,7,50,2013-01-01T12:00:00Z
2013,1,1,752,759,-7,955,959,-4,US,1733,N543UW,LGA,CLT,96,544,7,59,2013-01-01T12:00:00Z
2013,1,1,753,755,-2,1056,1110,-14,AA,2267,N3HMAA,LGA,MIA,157,1096,7,55,2013-01-01T12:00:00Z
2013,1,1,754,759,-5,1039,1041,-2,DL,2047,N935DL,LGA,ATL,126,762,7,59,2013-01-01T12:00:00Z
2013,1,1,754,755,-1,1103,1030,33,WN,733,N789SW,LGA,DEN,279,1620,7,55,2013-01-01T12:00:00Z
2013,1,1,758,800,-2,1053,1054,-1,B6,517,N645JB,EWR,MCO,142,937,8,0,2013-01-01T13:00:00Z
2013,1,1,759,800,-1,1057,1127,-30,DL,1843,N955DL,JFK,MIA,158,1089,8,0,2013-01-01T13:00:00Z
2013,1,1,800,800,0,1022,1014,8,DL,2119,N317US,LGA,MSP,171,1020,8,0,2013-01-01T13:00:00Z
2013,1,1,800,810,-10,949,955,-6,MQ,4406,N828MQ,JFK,RDU,80,427,8,10,2013-01-01T13:00:00Z
2013,1,1,801,805,-4,900,919,-19,B6,1172,N206JB,EWR,BOS,38,200,8,5,2013-01-01T13:00:00Z
2013,1,1,803,810,-7,903,925,-22,AA,1838,N3GEAA,JFK,BOS,38,187,8,10,2013-01-01T13:00:00Z
2013,1,1,803,800,3,1132,1144,-12,UA,223,N510UA,JFK,SFO,369,2586,8,0,2013-01-01T13:00:00Z
2013,1,1,804,810,-6,1103,1116,-13,DL,1959,N947DL,JFK,MCO,147,944,8,10,2013-01-01T13:00:00Z
2013,1,1,805,805,0,1015,1005,10,B6,219,N273JB,JFK,CLT,98,541,8,5,2013-01-01T13:00:00Z
2013,1,1,805,800,5,1118,1106,12,B6,3,N570JB,JFK,FLL,165,1069,8,0,2013-01-01T13:00:00Z
2013,1,1,805,815,-10,1006,1010,-4,MQ,4490,N739MQ,LGA,CMH,101,479,8,15,2013-01-01T13:00:00Z
2013,1,1,807,810,-3,1043,1043,0,DL,269,N308DE,JFK,ATL,126,760,8,10,2013-01-01T13:00:00Z
2013,1,1,809,815,-6,1043,1050,-7,EV,4388,N14542,EWR,JAX,132,820,8,15,2013-01-01T13:00:00Z
2013,1,1,810,810,0,1048,1037,11,9E,3538,N915XJ,JFK,MSP,189,1029,8,10,2013-01-01T13:00:00Z
2013,1,1,810,815,-5,1100,1128,-28,DL,2395,N349NW,LGA,PBI,149,1035,8,15,2013-01-01T13:00:00Z
2013,1,1,811,815,-4,1006,1032,-26,EV,4260,N11193,EWR,CHS,101,628,8,15,2013-01-01T13:00:00Z
2013,1,1,811,630,101,1047,830,137,MQ,4576,N531MQ,LGA,CLT,118,544,6,30,2013-01-01T11:00:00Z
2013,1,1,811,815,-4,1026,1016,10,US,675,N654AW,EWR,CLT,96,529,8,15,2013-01-01T13:00:00Z
2013,1,1,812,814,-2,1040,1017,23,EV,4537,N17108,EWR,MEM,180,946,8,14,2013-01-01T13:00:00Z
2013,1,1,813,815,-2,1103,1056,7,DL,914,N375NC,LGA,DEN,267,1620,8,15,2013-01-01T13:00:00Z
2013,1,1,814,810,4,1047,1030,17,FL,346,N977AT,LGA,ATL,132,762,8,10,2013-01-01T13:00:00Z
2013,1,1,817,810,7,1005,948,17,B6,1051,N228JB,JFK,PIT,86,340,8,10,2013-01-01T13:00:00Z
2013,1,1,820,820,0,1254,1310,-16,B6,717,N527JB,JFK,SJU,190,1598,8,20,2013-01-01T13:00:00Z
2013,1,1,820,830,-10,940,954,-14,DL,27,N324US,JFK,BOS,36,187,8,30,2013-01-01T13:00:00Z
2013,1,1,820,820,0,1249,1329,-40,DL,301,N900PC,JFK,SJU,182,1598,8,20,2013-01-01T13:00:00Z
2013,1,1,821,820,1,1153,1129,24,B6,181,N521JB,JFK,SAN,354,2446,8,20,2013-01-01T13:00:00Z
2013,1,1,821,825,-4,932,945,-13,MQ,4418,N846MQ,JFK,DCA,52,213,8,25,2013-01-01T13:00:00Z
2013,1,1,822,830,-8,1014,1016,-2,EV,4104,N12540,LGA,CLE,91,419,8,30,2013-01-01T13:00:00Z
2013,1,1,823,825,-2,1019,1024,-5,US,487,N655AW,JFK,CLT,96,541,8,25,2013-01-01T13:00:00Z
2013,1,1,823,823,0,1151,1135,16,UA,1223,N39728,EWR,DFW,250,1372,8,23,2013-01-01T13:00:00Z
2013,1,1,824,830,-6,1027,1025,2,AA,1855,N573AA,LGA,STL,169,888,8,30,2013-01-01T13:00:00Z
2013,1,1,825,827,-2,1058,1105,-7,B6,611,N292JB,JFK,JAX,130,828,8,27,2013-01-01T13:00:00Z
2013,1,1,826,715,71,1136,1045,51,AA,443,N3GVAA,JFK,MIA,160,1089,7,15,2013-01-01T12:00:00Z
2013,1,1,826,817,9,1145,1158,-13,UA,1480,N76522,EWR,SFO,357,2565,8,17,2013-01-01T13:00:00Z
2013,1,1,828,830,-2,1027,1012,15,B6,905,N274JB,JFK,ORD,160,740,8,30,2013-01-01T13:00:00Z
2013,1,1,828,823,5,1150,1143,7,UA,1506,N76528,EWR,LAX,359,2454,8,23,2013-01-01T13:00:00Z
2013,1,1,829,830,-1,1152,1200,-8,UA,443,N554UA,JFK,LAX,360,2475,8,30,2013-01-01T13:00:00Z
2013,1,1,829,830,-1,1117,1140,-23,UA,1592,N75425,EWR,MCO,145,937,8,30,2013-01-01T13:00:00Z
2013,1,1,830,830,0,1018,1015,3,AA,313,N4YCAA,LGA,ORD,137,733,8,30,2013-01-01T13:00:00Z
2013,1,1,830,835,-5,1052,1105,-13,MQ,4610,N513MQ,LGA,ATL,123,762,8,35,2013-01-01T13:00:00Z
2013,1,1,831,835,-4,1021,1039,-18,EV,4412,N13969,EWR,MYR,92,550,8,35,2013-01-01T13:00:00Z
2013,1,1,832,840,-8,1006,1030,-24,MQ,4521,N725MQ,LGA,RDU,77,431,8,40,2013-01-01T13:00:00Z
2013,1,1,833,835,-2,1134,1102,32,F9,835,N203FR,LGA,DEN,257,1620,8,35,2013-01-01T13:00:00Z
2013,1,1,835,835,0,1210,1150,20,AA,717,N3BDAA,LGA,DFW,249,1389,8,35,2013-01-01T13:00:00Z
2013,1,1,839,850,-11,1027,1035,-8,MQ,4558,N711MQ,LGA,CLE,88,419,8,50,2013-01-01T13:00:00Z
2013,1,1,840,845,-5,1311,1350,-39,AA,1357,N5FSAA,JFK,SJU,188,1598,8,45,2013-01-01T13:00:00Z
2013,1,1,840,845,-5,1053,1102,-9,DL,2304,N926DL,JFK,DTW,108,509,8,45,2013-01-01T13:00:00Z
2013,1,1,846,845,1,1138,1205,-27,B6,553,N564JB,EWR,RSW,157,1068,8,45,2013-01-01T13:00:00Z
2013,1,1,848,1835,853,1001,1950,851,MQ,3944,N942MQ,JFK,BWI,41,184,18,35,2013-01-01T23:00:00Z
2013,1,1,848,851,-3,1155,1136,19,UA,1741,N27724,EWR,JAC,275,1874,8,51,2013-01-01T13:00:00Z
2013,1,1,851,851,0,1032,1036,-4,EV,4548,N19966,EWR,RDU,75,416,8,51,2013-01-01T13:00:00Z
