county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid_community_level,date
American Samoa,60000,American Samoa,47392,901,American Samoa,47392,0,2.1,156.14,Low,2022-03-03
Guam,66000,Guam,168489,902,Guam,168489,15.2,38.6,833.88,High,2022-03-03
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,51851,903,Commonwealth of the Northern Mariana Islands,51851,7.2,9.6,1267.09,Medium,2022-03-03
United States Virgin Islands,78000,United States Virgin Islands,106290,905,United States Virgin Islands,106290,2.4,0.9,78.09,Low,2022-03-03
American Samoa,60000,American Samoa,47392,901,American Samoa,47392,0.9,19,434.67,High,2022-03-10
Guam,66000,Guam,168489,902,Guam,168489,13.7,77.2,450.47,High,2022-03-10
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,51851,903,Commonwealth of the Northern Mariana Islands,51851,8.3,3.9,779.16,Medium,2022-03-10
United States Virgin Islands,78000,United States Virgin Islands,106290,905,United States Virgin Islands,106290,1.4,0,31.99,Low,2022-03-10
American Samoa,60000,American Samoa,47392,901,American Samoa,47392,1,6.3,901,Medium,2022-03-17
Guam,66000,Guam,168489,902,Guam,168489,12.3,83.1,385.78,High,2022-03-17
Commonwealth of the Northern Mariana Islands,69000,Commonwealth of the Northern Mariana Islands,51851,903,Commonwealth of the Northern Mariana Islands,51851,5.4,1.9,594.01,Medium,2022-03-17
United States Virgin Islands,78000,United States Virgin Islands,106290,905,United States Virgin Islands,106290,1.6,1.9,22.58,Low,2022-03-17
Geneva County,01061,Alabama,26271,162,"Houston (Dothan), AL - Dale, AL",277857,11.9,20.9,140.84,High,2022-02-24
Greene County,01063,Alabama,8111,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",252047,6.6,5.6,283.57,Medium,2022-02-24
Hale County,01065,Alabama,14651,156,"Tuscaloosa (Tuscaloosa), AL - Pickens, AL",252047,6.6,5.6,409.53,Medium,2022-02-24
Henry County,01067,Alabama,17205,162,"Houston (Dothan), AL - Dale, AL",277857,11.9,20.9,156.93,High,2022-02-24
Houston County,01069,Alabama,105882,162,"Houston (Dothan), AL - Dale, AL",277857,11.9,20.9,128.44,High,2022-02-24
Jackson County,01071,Alabama,51626,210,"Madison (Huntsville), AL - Limestone, AL",557816,13,28.7,172.39,High,2022-02-24
Jefferson County,01073,Alabama,658573,150,"Jefferson (Birmingham), AL - Shelby, AL",1237724,8.5,23.4,96.88,High,2022-02-24
Lamar County,01075,Alabama,13805,461,"Lowndes, MS - Clay, MS",102133,4.3,7.8,325.97,Medium,2022-02-24
Lauderdale County,01077,Alabama,92729,219,"Lauderdale (Florence), AL - Colbert, AL",202961,7.3,13.8,168.23,Medium,2022-02-24
Lawrence County,01079,Alabama,32924,185,"Morgan (Decatur), AL - Lawrence, AL",152603,6.9,5.9,191.35,Low,2022-02-24
Autauga County,01001,Alabama,55869,171,"Montgomery (Montgomery), AL - Autauga, AL",386117,8,15.5,152.14,Medium,2022-02-24
Baldwin County,01003,Alabama,223234,161,"Mobile (Mobile), AL - Baldwin, AL",697125,8,16.2,99.9,Medium,2022-02-24
Barbour County,01005,Alabama,24686,162,"Houston (Dothan), AL - Dale, AL",277857,11.9,20.9,81.02,High,2022-02-24
Bibb County,01007,Alabama,22394,150,"Jefferson (Birmingham), AL - Shelby, AL",1237724,8.5,23.4,125.03,High,2022-02-24
Blount County,01009,Alabama,57826,150,"Jefferson (Birmingham), AL - Shelby, AL",1237724,8.5,23.4,193.68,High,2022-02-24
Bullock County,01011,Alabama,10101,171,"Montgomery (Montgomery), AL - Autauga, AL",386117,8,15.5,79.2,Medium,2022-02-24
Butler County,01013,Alabama,19448,259,"Butler, AL",19448,6.1,0,113.12,Low,2022-02-24
Calhoun County,01015,Alabama,113605,177,"Calhoun (Anniston), AL - Carroll, GA",278299,5.6,20.8,177.81,High,2022-02-24
