"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,2,9,NA,1220,NA,NA,1325,NA,"WN",1045,"N431WN","EWR","BWI",NA,169,12,20,2013-02-09 12:00:00
"2",2013,12,30,1434,1419,15,1736,1715,21,"UA",1270,"N16713","EWR","MCO",157,937,14,19,2013-12-30 14:00:00
"3",2013,5,21,1855,1845,10,2153,2150,3,"B6",509,"N568JB","EWR","FLL",142,1065,18,45,2013-05-21 18:00:00
"4",2013,2,8,NA,1835,NA,NA,2212,NA,"DL",1643,"N3764D","JFK","SEA",NA,2422,18,35,2013-02-08 18:00:00
"5",2013,2,10,1809,1548,141,2044,1830,134,"DL",95,"N395DN","JFK","ATL",127,760,15,48,2013-02-10 15:00:00
"6",2013,7,13,2040,1936,64,2305,2247,18,"UA",675,"N418UA","EWR","SEA",298,2402,19,36,2013-07-13 19:00:00
"7",2013,3,21,1722,1640,42,1928,1850,38,"MQ",4540,"N723MQ","LGA","DTW",79,502,16,40,2013-03-21 16:00:00
"8",2013,10,10,725,725,0,952,1000,-8,"UA",1289,"N26210","EWR","LAS",298,2227,7,25,2013-10-10 07:00:00
"9",2013,8,23,629,630,-1,744,744,0,"EV",4533,"N14186","EWR","BUF",48,282,6,30,2013-08-23 06:00:00
"10",2013,6,18,1323,1327,-4,1557,1545,12,"F9",507,"N204FR","LGA","DEN",231,1620,13,27,2013-06-18 13:00:00
"11",2013,7,29,812,756,16,953,930,23,"EV",4125,"N14902","EWR","GSO",76,445,7,56,2013-07-29 07:00:00
"12",2013,6,11,956,1003,-7,1115,1135,-20,"FL",353,"N943AT","LGA","CAK",59,397,10,3,2013-06-11 10:00:00
"13",2013,2,7,605,610,-5,809,817,-8,"DL",1919,"N335NW","LGA","MSP",161,1020,6,10,2013-02-07 06:00:00
"14",2013,6,9,838,840,-2,1120,1146,-26,"UA",1125,"N21108","JFK","LAX",318,2475,8,40,2013-06-09 08:00:00
"15",2013,10,3,2148,2019,89,2358,2240,78,"EV",4333,"N16178","EWR","TUL",170,1215,20,19,2013-10-03 20:00:00
"16",2013,1,21,2045,2020,25,2313,2245,28,"MQ",4662,"N539MQ","LGA","ATL",130,762,20,20,2013-01-21 20:00:00
"17",2013,5,18,1820,1723,57,2057,2011,46,"UA",1166,"N37408","EWR","IAH",191,1400,17,23,2013-05-18 17:00:00
"18",2013,6,29,1818,1759,19,2115,2058,17,"UA",535,"N560UA","JFK","LAX",312,2475,17,59,2013-06-29 17:00:00
"19",2013,12,11,1135,1135,0,1326,1330,-4,"MQ",3281,"N522MQ","LGA","CMH",87,479,11,35,2013-12-11 11:00:00
"20",2013,11,13,948,950,-2,1219,1308,-49,"UA",785,"N813UA","EWR","LAX",306,2454,9,50,2013-11-13 09:00:00
"21",2013,1,22,1202,1145,17,1345,1321,24,"FL",353,"N951AT","LGA","CAK",72,397,11,45,2013-01-22 11:00:00
"22",2013,4,22,1326,1240,46,1519,1415,64,"WN",163,"N227WN","LGA","MKE",108,738,12,40,2013-04-22 12:00:00
"23",2013,11,5,823,825,-2,914,935,-21,"AA",84,"N3ALAA","JFK","BOS",35,187,8,25,2013-11-05 08:00:00
"24",2013,3,10,1922,1917,5,2030,2041,-11,"UA",1064,"N33203","EWR","BOS",36,200,19,17,2013-03-10 19:00:00
"25",2013,4,1,1857,1900,-3,2245,2240,5,"DL",87,"N721TW","JFK","LAX",340,2475,19,0,2013-04-01 19:00:00
"26",2013,2,8,1043,1050,-7,1410,1404,6,"B6",373,"N630JB","LGA","FLL",157,1076,10,50,2013-02-08 10:00:00
"27",2013,1,5,1304,1300,4,1415,1421,-6,"EV",4247,"N18102","EWR","RIC",52,277,13,0,2013-01-05 13:00:00
"28",2013,11,25,1641,1648,-7,1754,1808,-14,"EV",4695,"N13958","EWR","ROC",52,246,16,48,2013-11-25 16:00:00
"29",2013,12,6,741,746,-5,1054,1050,4,"B6",163,"N510JB","JFK","SRQ",158,1041,7,46,2013-12-06 07:00:00
"30",2013,2,13,2030,1858,92,2210,2055,75,"EV",5038,"N761ND","LGA","BHM",140,866,18,58,2013-02-13 18:00:00
"31",2013,2,6,840,845,-5,956,1006,-10,"EV",4112,"N18557","EWR","RIC",54,277,8,45,2013-02-06 08:00:00
"32",2013,1,23,920,850,30,1146,1113,33,"EV",4125,"N16112","EWR","XNA",180,1131,8,50,2013-01-23 08:00:00
"33",2013,9,2,755,800,-5,942,954,-12,"B6",1273,"N266JB","JFK","CHS",87,636,8,0,2013-09-02 08:00:00
"34",2013,12,2,1723,1724,-1,1950,1953,-3,"UA",509,"N580UA","LGA","DEN",231,1620,17,24,2013-12-02 17:00:00
"35",2013,4,2,820,824,-4,1005,1014,-9,"EV",4096,"N48901","EWR","RDU",75,416,8,24,2013-04-02 08:00:00
"36",2013,7,24,1130,1135,-5,1507,1451,16,"DL",954,"N934DL","LGA","FLL",163,1076,11,35,2013-07-24 11:00:00
"37",2013,5,31,1402,1359,3,1618,1647,-29,"UA",591,"N440UA","EWR","IAH",179,1400,13,59,2013-05-31 13:00:00
"38",2013,6,19,948,955,-7,1120,1115,5,"MQ",3670,"N546MQ","LGA","BNA",115,764,9,55,2013-06-19 09:00:00
"39",2013,12,22,2117,2100,17,2226,2214,12,"US",2197,"N767UW","LGA","DCA",47,214,21,0,2013-12-22 21:00:00
"40",2013,9,17,624,630,-6,826,839,-13,"EV",4393,"N14570","EWR","IND",95,645,6,30,2013-09-17 06:00:00
"41",2013,6,27,NA,1655,NA,NA,1950,NA,"AA",1507,"N454AA","EWR","DFW",NA,1372,16,55,2013-06-27 16:00:00
"42",2013,9,4,924,929,-5,1225,1234,-9,"UA",456,"N431UA","EWR","FLL",151,1065,9,29,2013-09-04 09:00:00
"43",2013,12,12,1629,1630,-1,1944,2010,-26,"VX",27,"N843VA","JFK","SFO",357,2586,16,30,2013-12-12 16:00:00
"44",2013,3,29,2050,2059,-9,2259,2320,-21,"B6",115,"N324JB","JFK","MSY",167,1182,20,59,2013-03-29 20:00:00
