"","tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"1","N528AS",2009,"Fixed wing multi engine","BOEING","737-890",2,149,NA,"Turbo-fan"
"2","N914DL",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS AIRCRAFT CO","MD-88",2,142,NA,"Turbo-fan"
"3","N8948B",2004,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"4","N8609A",2013,"Fixed wing multi engine","BOEING","737-8H4",2,140,NA,"Turbo-fan"
"5","N353JB",2012,"Fixed wing multi engine","EMBRAER","ERJ 190-100 IGW",2,20,NA,"Turbo-fan"
"6","N245AY",1987,"Fixed wing multi engine","BOEING","767-201",2,255,NA,"Turbo-jet"
"7","N199UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"8","N523JB",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"9","N840UA",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"10","N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"11","N517AS",2008,"Fixed wing multi engine","BOEING","737-890",2,149,NA,"Turbo-fan"
"12","N490UA",2002,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"13","N836AS",1998,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"14","N212WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"15","N534UA",1991,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"16","N848UA",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-131",2,179,NA,"Turbo-jet"
"17","N565AA",1987,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-83(MD-83)",2,172,NA,"Turbo-fan"
"18","N720WN",1998,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"19","N76504",2006,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"20","N569UA",1992,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"21","N944DL",1989,"Fixed wing multi engine","MCDONNELL DOUGLAS AIRCRAFT CO","MD-88",2,142,NA,"Turbo-fan"
"22","N258WN",2006,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"23","N939DN",1996,"Fixed wing multi engine","MCDONNELL DOUGLAS","MD-90-30",2,142,NA,"Turbo-fan"
"24","N181UW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"25","N717TW",1999,"Fixed wing multi engine","BOEING","757-231",2,178,NA,"Turbo-fan"
"26","N16703",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"27","N227WN",2005,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"28","N13132",2003,"Fixed wing multi engine","EMBRAER","EMB-145XR",2,55,NA,"Turbo-fan"
"29","N143DA",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"30","N742PS",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-112",2,179,NA,"Turbo-fan"
"31","N554WN",2002,"Fixed wing multi engine","BOEING","737-7BX",2,149,NA,"Turbo-fan"
"32","N103US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"33","N508UA",1990,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"34","N7812G",NA,"Fixed wing multi engine","BOEING","737-76N",2,149,NA,"Turbo-fan"
"35","N77871",2003,"Fixed wing multi engine","BOEING","757-33N",2,275,NA,"Turbo-jet"
"36","N445WN",2003,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"37","N8894A",NA,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2B19",2,55,NA,"Turbo-fan"
"38","N14562",2002,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"39","N13903",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"40","N381DN",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"41","N411UA",1994,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"42","N425LV",2002,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"43","N530UA",1991,"Fixed wing multi engine","BOEING","757-222",2,178,NA,"Turbo-jet"
"44","N185DN",1995,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"45","N78506",2006,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"46","N827AS",1997,"Fixed wing multi engine","CANADAIR","CL-600-2B19",2,55,NA,"Turbo-fan"
"47","N332AA",1987,"Fixed wing multi engine","BOEING","767-223",2,255,NA,"Turbo-fan"
"48","N798SW",1998,"Fixed wing multi engine","BOEING","737-7AD",2,128,NA,"Turbo-jet"
"49","N649AW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"50","N715SW",1998,"Fixed wing multi engine","BOEING","737-7H4",2,140,NA,"Turbo-fan"
"51","N468AA",1988,"Fixed wing multi engine","MCDONNELL DOUGLAS","DC-9-82(MD-82)",2,172,NA,"Turbo-fan"
"52","N538UW",2009,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"53","N195UW",2008,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"54","N510SW",1990,"Fixed wing multi engine","BOEING","737-5H4",2,149,NA,"Turbo-jet"
"55","N56859",2004,"Fixed wing multi engine","BOEING","757-324",2,275,NA,"Turbo-fan"
"56","N717JL",2002,"Fixed wing multi engine","BOEING","717-200",2,100,NA,"Turbo-fan"
"57","N214FR",2011,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"58","N378DA",1999,"Fixed wing multi engine","BOEING","737-832",2,189,NA,"Turbo-jet"
"59","N78448",2012,"Fixed wing multi engine","BOEING","737-924ER",2,191,NA,"Turbo-fan"
"60","N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"61","N936XJ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"62","N193DN",1997,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"63","N571JB",2003,"Fixed wing multi engine","AIRBUS","A320-232",2,200,NA,"Turbo-fan"
"64","N453UA",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
"65","N780SK",2009,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2C10",2,80,NA,"Turbo-fan"
"66","N302NB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A319-114",2,145,NA,"Turbo-fan"
"67","N354NW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-212",2,182,NA,"Turbo-fan"
"68","N11539",2001,"Fixed wing multi engine","EMBRAER","EMB-145LR",2,55,NA,"Turbo-fan"
"69","N503JB",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-232",2,200,NA,"Turbo-fan"
