bioname,icpsr,state_icpsr,district_code,nominate_dim1
"ADAMS, Alma",21545,47,12,-0.466
"AGUILAR, Peter Rey",21506,71,31,-0.291
"ALLRED, Colin",21900,49,32,-0.45
"AXNE, Cynthia",21902,31,3,-0.237
"BARRAGÁN, Nanette Diaz",21703,71,44,-0.513
"BASS, Karen",21110,71,37,-0.585
"BEATTY, Joyce",21352,24,3,-0.43
"BERA, Ami",21304,71,7,-0.232
"BEYER, Donald Sternoff Jr.",21554,40,8,-0.385
"BISHOP, Sanford Dixon, Jr.",29339,44,2,-0.282
"BLUMENAUER, Earl",29588,72,3,-0.427
"BLUNT ROCHESTER, Lisa",21706,11,1,-0.332
"BONAMICI, Suzanne",21198,72,1,-0.394
"BOYLE, Brendan Francis",21548,14,2,-0.397
"BRINDISI, Anthony",21904,13,22,-0.152
"BROWN, Anthony Gregory",21707,52,4,-0.335
"BROWNLEY, Julia",21308,71,26,-0.286
"BUSTOS, Cheri",21329,21,17,-0.238
"BUTTERFIELD, George Kenneth, Jr. (G.K.)",20340,47,1,-0.404
"CÁRDENAS, Tony",21309,71,29,-0.382
"CARBAJAL, Salud",21709,71,24,-0.301
"CARSON, André",20757,22,7,-0.431
"CARTWRIGHT, Matt",21358,14,8,-0.366
"CASE, Ed",20322,82,1,-0.201
"CASTEN, Sean",21906,21,6,-0.402
"CASTOR, Kathy",20708,43,14,-0.438
"CASTRO, Joaquin",21362,49,20,-0.399
"CHU, Judy",20955,71,27,-0.487
"CICILLINE, David N.",21172,5,1,-0.391
"CISNEROS, Gil",21907,71,39,-0.376
"CLARK, Katherine M.",21375,3,5,-0.484
"CLARKE, Yvette Diane",20733,13,9,-0.614
"CLAY, William Lacy, Jr.",20147,34,1,-0.481
"CLEAVER, Emanuel, II",20517,34,5,-0.453
"CLYBURN, James Enos",39301,48,6,-0.464
"COHEN, Stephen",20748,54,9,-0.4
"CONNOLLY, Gerald E. (Gerry)",20952,40,11,-0.306
"COOPER, James Hayes Shofner",15019,54,5,-0.163
"CORREA, Jose Luis",21711,71,46,-0.281
"COSTA, Jim",20501,71,16,-0.192
"COURTNEY, Joe",20706,1,2,-0.344
"COX, TJ",21909,71,21,-0.343
"CRAIG, Angela",21910,33,2,-0.31
"CRIST, Charlie Joseph Jr.",21712,43,13,-0.222
"CROW, Jason",21912,62,6,-0.271
"CUELLAR, Henry",20533,49,28,-0.228
"CUMMINGS, Elijah Eugene",29587,52,7,-0.438
"CUNNINGHAM, Joe",21913,48,1,-0.13
"DAVIDS, Sharice",21914,32,3,-0.248
"DAVIS, Danny K.",29717,21,7,-0.486
"DAVIS, Susan A.",20108,71,53,-0.343
"DEAN, Madeleine",21915,14,4,-0.517
"DeFAZIO, Peter Anthony",15410,72,4,-0.428
"DeGETTE, Diana",29710,62,1,-0.432
"DeLAURO, Rosa L.",29109,1,3,-0.416
"DelBENE, Suzan K.",31101,73,1,-0.281
"DELGADO, Antonio",21916,13,19,-0.214
"DEMINGS, Valdez Butler",21713,43,10,-0.338
"DESAULNIER, Mark James",21504,71,11,-0.529
"DEUTCH, Theodore E. (Ted)",20959,43,22,-0.4
"DINGELL, Debbie",21529,23,12,-0.408
"DOGGETT, Lloyd Alton, II",29571,49,35,-0.402
"DOYLE, Michael F.",29561,14,18,-0.33
"ENGEL, Eliot Lance",15603,13,16,-0.408
"ESCOBAR, Veronica",21917,49,16,-0.381
"ESHOO, Anna Georges",29312,71,18,-0.381
"ESPAILLAT, Adriano J.",21715,13,13,-0.615
"EVANS, Dwight",21566,14,3,-0.457
"FINKENAUER, Abby",21918,31,1,-0.223
"FLETCHER, Elizabeth",21919,49,7,-0.446
"FOSTER, Bill",20749,21,11,-0.228
"FRANKEL, Lois",21321,43,21,-0.399
"FUDGE, Marcia L.",20941,24,11,-0.582
"GABBARD, Tulsi",21324,82,2,-0.278
"GALLEGO, Ruben",21502,61,7,-0.449
"GARAMENDI, John",20958,71,3,-0.309
"GARCÍA, Jesús",21921,21,4,-0.45
"GARCIA, Sylvia",21922,49,29,-0.734
"GOLDEN, Jared",21923,2,2,-0.127
"GOMEZ, Jimmy",21754,71,34,-0.595
"GONZALEZ, Vicente Jr.",21722,49,15,-0.38
"GOTTHEIMER, Josh S.",21723,12,5,-0.141
"GREEN, Al",20529,49,9,-0.438
