tortilla,temp,meat,fillings,salsa,mfr,uniformity,synergy,guac,cheese,fries,sourcream,rice,beans
3,5,3,3.5,4,4,4,4,present,present,present,none,none,none
2,3.5,2.5,2.5,3.5,2,4,2.5,present,present,present,none,none,none
3,2,2.5,3,3,4.5,4,3,present,none,none,none,none,none
3,2,3.5,3,4,4,5,4,present,none,none,none,none,none
4,5,4,3.5,2.5,4.5,5,4.5,none,present,present,none,none,none
3,4,5,3.5,2.5,2.5,2.5,4,present,present,none,present,present,present
2,4.5,4.5,3.5,3.5,1.5,3,4,present,present,present,present,none,none
2.5,1.5,1.5,3,1.5,4.5,3,2,present,none,none,none,none,none
2.5,2.5,2.75,2.5,0.5,2.5,2,3,present,none,none,none,present,none
3,4,4,3,1,4,4,2,none,none,present,none,present,present
3,3.5,3.5,4,1,2,3.5,4,none,present,present,none,none,none
3,1,1.5,2.5,3,4,4,4.5,none,none,none,none,none,none
3,2.5,4,4,3.5,3.5,2.5,5,present,present,present,present,none,none
4,4,3,3.5,4,4,4.5,4,none,none,none,none,none,present
1.5,2,3,3.5,3.5,4,1,4.5,present,present,none,none,none,none
1.5,2.5,3.5,3,2.5,4,1.5,3.5,present,none,none,none,none,none
4,3,4,4,4,4,4,4,present,present,present,present,none,none
3,2,4.5,4,3,4,3.5,4.5,present,present,present,present,none,none
2.5,2.5,3,4,3,4,4,3.5,none,present,none,none,none,present
2.5,3,3,4,3,2,2,3.5,present,present,none,none,none,present
3.5,5,4,4,3.5,3.5,4.5,3.5,none,present,none,none,none,none
3,4.5,3.5,3.5,3,3.5,3,3,none,none,none,none,present,present
4,2,4,3.5,3.5,4.5,4,4,present,none,none,none,none,none
3,1.5,3,3,3.5,2.5,3,2.5,present,present,present,present,none,none
3,5,4,2.75,3.5,4,1.6,3.4,present,present,present,none,none,none
3.5,5,2.5,2.5,3.5,4,2.7,3,present,present,present,none,none,none
3,5,5,4.5,1.5,4,4,3,none,present,none,none,none,present
3,3,4,3,3.5,3.5,4.5,3,none,none,none,none,none,none
4,4,3.5,4,3.5,4.5,4,3.5,present,present,present,none,none,none
4,3,3.5,3,3,4,5,3.5,none,none,none,none,none,none
3,3,3.5,3,3,4,1,2.5,present,present,none,none,present,present
4,4.5,4,3.5,2,4,2.5,4,none,present,present,present,none,none
4,3.5,3.5,4,2,3.5,3.5,3.5,none,none,none,none,none,none
3,4,3.5,4,3.5,4,4,4.5,present,present,none,none,none,none
3,4.5,4,3,4,3,2,2,none,present,none,none,none,none
3.75,5,3,3,3.5,4.5,4.5,3,present,none,none,none,none,none
2,5,3.5,4,3.5,2.5,5,2.5,present,present,none,none,none,none
2,4,3,3,4,4,2,2,present,none,none,present,present,present
3,4.5,3.5,3,3.5,3,2,2.5,none,none,none,none,none,none
4,4.5,3.5,5,4,2.5,2,4.5,present,present,present,present,none,none
4.5,4.5,4,4.5,4,4,4,4.5,present,present,present,present,none,none
4,4,2,3,2.5,1.5,3,1,present,none,none,none,none,present
4,4.5,3.5,4,2.5,3,2,3.5,present,present,present,none,none,none
4,4.5,3.5,2.5,4,4.5,4.5,3.5,none,none,none,none,none,none
