species1,species2,divergence_time,parasites1,parasites2,citsum,citdiff,GRoverlap,distance,BMdiff,Groupdiff,Terrdiff,Tempdiff,precdiff,parsim,parsim_1,parsim_2
Alouatta_caraya,Alouatta_guariba,4.569,17,12,31,5,67549.4,932.2,388.63,1.5,0,2203776,57.512,171.032,0.318,0.444
Alouatta_caraya,Alouatta_palliata,3.888,17,19,75,39,0.0,3455.9,1000.03,4.2,0,2714832,54.883,346.903,0.226,0.314
Alouatta_caraya,Alouatta_seniculus,2.886,17,26,30,6,0.0,1908.1,821.35,1,0,786326,9.534,1061.887,0.250,0.341
Alouatta_caraya,Aotus_trivirgatus,21.321,17,13,64,28,0.0,1496.8,4664.56,5.75,0,2482312,27.586,961.953,0.154,0.371
Alouatta_caraya,Ateles_geoffroyi,14.760,17,12,30,6,0.0,3785.2,2005.44,33.1,0,2438583,54.884,1.406,0.240,0.345
Alouatta_caraya,Ateles_paniscus,14.760,17,15,25,11,0.0,1421.6,3120.29,11.1,0,2172505,16.694,718.632,0.214,0.333
Alouatta_caraya,Callithrix_jacchus,21.321,17,19,391,355,132282.6,1739.3,5286.75,0.35,0,2357770,3.370,445.333,0.125,0.282
Alouatta_caraya,Cebus_apella,21.321,17,15,293,257,289294.0,1054.6,2818.58,1,1,225049,11.398,585.730,0.290,0.389
Alouatta_caraya,Cebus_capucinus,21.321,17,19,37,1,0.0,3109.3,2570.97,9.25,1,2846067,52.879,584.901,0.176,0.263
Alouatta_caraya,Cercocebus_galeritus,46.812,17,15,27,9,0.0,10701.8,1500.7,11.45,2,3397270,2.836,812.266,0.000,0.179
Alouatta_caraya,Cercopithecus_ascanius,46.812,17,17,28,8,0.0,8933.1,2036.72,17.4,1,423201,0.053,91.582,0.063,0.250
Alouatta_caraya,Cercopithecus_mitis,46.812,17,25,28,8,0.0,9351.3,535.67,7.1,1,69322,24.428,363.917,0.048,0.216
Alouatta_caraya,Chlorocebus_aethiops,46.812,17,38,58,22,0.0,10641.0,1880.97,8.4,2,2051555,6.938,673.602,0.038,0.164
Alouatta_caraya,Colobus_guereza,46.812,17,11,39,3,0.0,9353.8,4348.92,1.3,0,150703,0.070,107.486,0.034,0.263
Alouatta_caraya,Erythrocebus_patas,46.812,17,10,39,3,0.0,7678.2,2389.34,19.1,2,4329864,27.058,567.326,0.038,0.286
Alouatta_caraya,Eulemur_fulvus,73.003,17,15,54,18,0.0,11429.4,3199.97,0.25,1,3263727,49.452,14.677,0.000,0.086
Alouatta_caraya,Gorilla_gorilla,46.812,17,65,201,165,0.0,7852.7,107012.03,2.9,2,2556904,7.212,224.920,0.025,0.124
Alouatta_caraya,Lophocebus_albigena,46.812,17,14,18,18,0.0,8636.0,1841.75,7.1,0,1656807,2.980,235.941,0.100,0.289
Alouatta_caraya,Macaca_fascicularis,46.812,17,27,803,767,0.0,17874.3,1007.64,18.1,2,571947,60.492,254.959,0.000,0.102
Alouatta_caraya,Macaca_fuscata,46.812,17,15,103,67,0.0,15943.4,4537.8,31.75,2,3149258,151.928,177.178,0.000,0.000
Alouatta_caraya,Macaca_nemestrina,46.812,17,10,233,197,0.0,17764.8,2243.82,13.7,2,2009816,45.501,650.202,0.000,0.069
Alouatta_caraya,Macaca_sinica,46.812,17,14,25,11,0.0,15163.2,920.97,11.2,2,3341001,68.869,235.802,0.000,0.139
Alouatta_caraya,Mandrillus_sphinx,46.812,17,14,76,40,0.0,7596.9,11108.1,5,2,2995169,22.794,208.449,0.000,0.244
Alouatta_caraya,Pan_troglodytes,46.812,17,52,370,334,0.0,7307.5,39423.04,41.1,2,195165,1.591,185.325,0.029,0.141
Alouatta_caraya,Papio_anubis,46.812,17,37,158,122,0.0,8240.8,12151.6,31.1,2,5078744,18.011,461.842,0.037,0.161
Alouatta_caraya,Papio_cynocephalus,46.812,17,40,229,193,0.0,9431.0,10245.19,39.3,2,1175837,14.790,382.946,0.018,0.154
Alouatta_caraya,Papio_hamadryas,46.812,17,18,117,81,0.0,11157.1,8430.12,28,2,2608733,24.514,1021.067,0.029,0.195
Alouatta_caraya,Papio_ursinus,46.812,17,45,152,116,0.0,8766.4,12152.48,38.1,2,193098,51.929,915.439,0.032,0.091
Alouatta_caraya,Piliocolobus_badius,46.812,17,21,25,11,0.0,5688.8,2853.44,25.1,0,2854952,17.718,162.514,0.056,0.209
Alouatta_caraya,Pongo_pygmaeus,46.812,17,22,98,62,0.0,18319.9,47831.33,7.9,0,3010881,3.195,1140.751,0.000,0.025
