pid,survived,pclass,sex,age,fare
1,0,3,male,22,7.25
2,1,1,female,38,71.2833
3,1,3,female,26,7.925
4,1,1,female,35,53.1
5,0,3,male,35,8.05
7,0,1,male,54,51.8625
8,0,3,male,2,21.075
9,1,3,female,27,11.1333
10,1,2,female,14,30.0708
11,1,3,female,4,16.7
12,1,1,female,58,26.55
13,0,3,male,20,8.05
14,0,3,male,39,31.275
15,0,3,female,14,7.8542
16,1,2,female,55,16
17,0,3,male,2,29.125
19,0,3,female,31,18
21,0,2,male,35,26
22,1,2,male,34,13
23,1,3,female,15,8.0292
24,1,1,male,28,35.5
25,0,3,female,8,21.075
26,1,3,female,38,31.3875
28,0,1,male,19,263
31,0,1,male,40,27.7208
34,0,2,male,66,10.5
35,0,1,male,28,82.1708
36,0,1,male,42,52
38,0,3,male,21,8.05
39,0,3,female,18,18
40,1,3,female,14,11.2417
41,0,3,female,40,9.475
42,0,2,female,27,21
44,1,2,female,3,41.5792
45,1,3,female,19,7.8792
50,0,3,female,18,17.8
51,0,3,male,7,39.6875
52,0,3,male,21,7.8
53,1,1,female,49,76.7292
54,1,2,female,29,26
55,0,1,male,65,61.9792
57,1,2,female,21,10.5
58,0,3,male,28.5,7.2292
59,1,2,female,5,27.75
60,0,3,male,11,46.9
61,0,3,male,22,7.2292
62,1,1,female,38,80
63,0,1,male,45,83.475
64,0,3,male,4,27.9
67,1,2,female,29,10.5
68,0,3,male,19,8.1583
69,1,3,female,17,7.925
70,0,3,male,26,8.6625
71,0,2,male,32,10.5
72,0,3,female,16,46.9
73,0,2,male,21,73.5
74,0,3,male,26,14.4542
75,1,3,male,32,56.4958
76,0,3,male,25,7.65
79,1,2,male,0.83,29
80,1,3,female,30,12.475
81,0,3,male,22,9
82,1,3,male,29,9.5
84,0,1,male,28,47.1
85,1,2,female,17,10.5
86,1,3,female,33,15.85
87,0,3,male,16,34.375
89,1,1,female,23,263
90,0,3,male,24,8.05
91,0,3,male,29,8.05
92,0,3,male,20,7.8542
93,0,1,male,46,61.175
94,0,3,male,26,20.575
95,0,3,male,59,7.25
97,0,1,male,71,34.6542
98,1,1,male,23,63.3583
99,1,2,female,34,23
100,0,2,male,34,26
101,0,3,female,28,7.8958
103,0,1,male,21,77.2875
104,0,3,male,33,8.6542
105,0,3,male,37,7.925
106,0,3,male,28,7.8958
107,1,3,female,21,7.65
109,0,3,male,38,7.8958
111,0,1,male,47,52
