"","faa","name","lat","lon","alt","tz","dst","tzone"
"1","6J4","Saluda County",33.5561,-81.4768,539,-5,"A","America/New_York"
"2","MCK","McCook Regional Airport",40.206389,-100.592222,2583,-6,"A","America/Chicago"
"3","VGT","North Las Vegas Airport",36.2106944,-115.1944444,2205,-8,"U","America/Los_Angeles"
"4","STL","Lambert St Louis Intl",38.748697,-90.370028,618,-6,"A","America/Chicago"
"5","LOT","Lewis University Airport",41.606326,-88.083003,680,-6,"A","America/Chicago"
"6","LGC","LaGrange-Callaway Airport",33.0088611,-85.0726111,694,-5,"A","America/New_York"
"7","CAK","Akron Canton Regional Airport",40.9160833,-81.4421944,1228,-5,"A","America/New_York"
"8","LAM","Los Alamos Airport",35.8798019,-106.2694153,7171,-7,"A","America/Denver"
"9","09J","Jekyll Island Airport",31.0744722,-81.4277778,11,-5,"A","America/New_York"
"10","KMO","Manokotak Airport",58.990278,-159.05,51,-9,"A","America/Anchorage"
"11","MWL","Mineral Wells",32.781606,-98.060175,974,-6,"A","America/Chicago"
"12","PIZ","Point Lay Lrrs",69.732875,-163.005342,25,-9,"A","America/Anchorage"
"13","GUS","Grissom Arb",40.648094,-86.152119,812,-5,"A","America/New_York"
"14","CDW","Caldwell Essex County Airport",40.8752222,-74.2813611,172,-5,"A","America/New_York"
"15","DGL","Douglas Municipal Airport",31.3426028,-109.5064544,4173,-7,"N","America/Phoenix"
"16","CKF","Crisp County Cordele Airport",31.9888333,-83.7739167,310,-5,"A","America/New_York"
"17","MFR","Rogue Valley Intl Medford",42.374228,-122.8735,1335,-8,"A","America/Los_Angeles"
"18","FDW","Fairfield County Airport",34.315472,-81.108806,577,-5,"A","America/New_York"
"19","KFP","False Pass Airport",54.8475,-163.410278,20,-9,"A","America/Anchorage"
"20","SKK","Shaktoolik Airport",64.371111,-161.223889,24,-9,"A","America/Anchorage"
"21","GKY","Arlington Municipal",32.6638611,-97.0942778,628,-6,"A","America/Chicago"
"22","JRB","Wall Street Heliport",40.701214,-74.009028,7,-5,"A","America/New_York"
"23","FFC","Atlanta Regional Airport - Falcon Field",33.35725,-84.5718333,808,-5,"A","America/New_York"
"24","EWN","Craven Co Rgnl",35.072972,-77.042944,18,-5,"A","America/New_York"
"25","WHP","Whiteman Airport",34.2593253,-118.4134331,1003,-8,"A","America/Los_Angeles"
"26","19A","Jackson County Airport",34.1758638,-83.5615972,951,-5,"U","America/New_York"
"27","LAW","Lawton-Fort Sill Regional Airport",34.5677144,-98.4166367,1110,-6,"A","America/Chicago"
"28","CCR","Buchanan Field Airport",37.9896667,-122.0568889,26,-8,"A","America/Los_Angeles"
"29","PHO","Point Hope Airport",68.3488,-166.799,12,-9,"A","America/Anchorage"
"30","SQL","San Carlos Airport",37.511944,-122.249444,5,-8,"A","America/Los_Angeles"
"31","CLM","William R Fairchild International Airport",48.1202,-123.5,291,-8,"A","America/Los_Angeles"
"32","6A2","Griffin-Spalding County Airport",33.2269722,-84.2749444,958,-5,"A","America/New_York"
"33","L52","Oceano County Airport",35.10147222,-120.62236111,14,-8,"U","America/Los_Angeles"
"34","HLG","Wheeling Ohio County Airport",40.175,-80.6463,1195,-5,"A","America/New_York"
"35","WWD","Cape May Co",39.008507,-74.908275,23,-5,"A","America/New_York"
"36","ISP","Long Island Mac Arthur",40.79525,-73.100222,99,-5,"A","America/New_York"
"37","ARV","Lakeland",45.927778,-89.730833,1629,-6,"A","America/Chicago"
"38","WTK","Noatak Airport",67.5661,-162.975,88,-9,"A","America/Anchorage"
"39","CVS","Cannon Afb",34.382775,-103.322147,4295,-7,"A","America/Denver"
"40","P08","Coolidge Municipal Airport",32.9359016418457,-111.427001953125,1574,-7,"A","America/Phoenix"
"41","EGX","Egegik Airport",58.185556,-157.375556,92,-9,"A","America/Anchorage"
"42","BYH","Arkansas Intl",35.964347,-89.943956,254,-6,"A","America/Chicago"
