saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2012,6,690467.0319,3937,5,4,2.5,1907,Lowry Hill,Calhoun-Isles,6192,0,FALSE
2014,7,235571.7017,1440,2,1,1.7,1919,Cooper,Longfellow,5160,0,FALSE
2005,7,272507.6655,1835,2,1,1.7,1913,Hiawatha,Longfellow,5040,0,FALSE
2010,6,277767.4667,2016,3,2,2.5,1910,King Field,Southwest,4875,0,FALSE
2010,2,148324.0596,2004,3,1,1,1956,Shingle Creek,Camden,5060,0,FALSE
2013,9,242871.9214,2822,3,3,2,1934,Cleveland,Camden,6307,2,TRUE
2011,1,442942.4876,2882,4,3,1.7,1951,Armatage,Southwest,6500,2,TRUE
2007,9,336270.1357,1979,3,2,1.5,1929,Ericsson,Nokomis,5600,0,FALSE
2013,10,361795.9147,3140,4,2,1.5,1940,Diamond Lake,Nokomis,6350,1,TRUE
2007,6,308541.803,3574,3,2,2.5,1900,Seward,Longfellow,7536,0,FALSE
2013,7,177122.5419,1248,3,2,1,1917,Cooper,Longfellow,5160,0,FALSE
2011,8,293051.7899,2122,3,2,2.5,1907,Lyndale,Powderhorn,4991,0,FALSE
2012,5,225456.358,1752,2,2,1.5,1915,Keewaydin,Nokomis,6384,0,FALSE
2010,2,272916.2697,2696,3,1,1.5,1931,Field,Nokomis,5192,1,TRUE
2015,7,384514.4811,2835,3,2,1.5,1929,Northrop,Nokomis,5208,1,TRUE
2015,6,705157.4328,4765,6,2,2.5,1886,Lowry Hill,Calhoun-Isles,6750,1,TRUE
2007,10,271147.1868,1728,2,2,1,1923,Armatage,Southwest,3973,0,FALSE
2015,6,474082.7663,2560,3,2,1.7,1947,Kenny,Southwest,6350,1,TRUE
2010,4,227697.9067,1704,2,1,1.2,1922,Longfellow,Longfellow,4953,0,FALSE
2013,4,468271.3926,2648,3,3,1.7,1905,East Harriet,Southwest,5420,0,FALSE
2014,2,114930.4385,1834,3,2,1.5,1948,Folwell,Camden,4641,0,FALSE
2012,5,240674.6621,2016,3,2,2,2000,Como,University,5240,0,FALSE
2007,7,217334.0462,1812,2,1,1,1946,Morris Park,Nokomis,5120,0,FALSE
2005,6,332762.0031,2383,3,2,2.2,1904,CARAG,Calhoun-Isles,4857,0,FALSE
2013,8,193266.3971,2642,4,2,2.5,1900,Lyndale,Powderhorn,6680,0,FALSE
2011,12,274591.0757,4126,3,4,2,2012,Linden Hills,Southwest,6430,1,TRUE
2011,1,426506.99,2976,4,3,1.5,1920,Fulton,Southwest,5120,1,TRUE
2009,2,211999.8007,1890,2,2,2,1900,Sheridan,Northeast,2970,0,FALSE
2007,1,257270.1721,2262,3,2,1.7,1909,Seward,Longfellow,2081,1,TRUE
2012,6,264848.261,1950,3,2,1.2,1940,Hale,Nokomis,5098,0,FALSE
2014,9,167194.701,1198,2,1,1.5,1900,Powderhorn Park,Powderhorn,3700,0,FALSE
2006,2,254720.8024,1875,3,1,1.2,1923,Field,Nokomis,5207,0,FALSE
2009,6,240070.7668,1771,3,2,1.7,1904,Central,Powderhorn,7565,0,FALSE
2014,8,258410.3091,2166,3,2,1.5,1946,Bancroft,Powderhorn,4990,0,FALSE
2011,1,160275.2422,2078,3,1,2.5,1909,Central,Powderhorn,5200,0,FALSE
2013,11,295159.4703,1990,2,2,1.7,1900,King Field,Southwest,5240,0,FALSE
2011,7,171581.4459,1882,3,2,1.2,1949,Ericsson,Nokomis,5120,1,TRUE
2012,5,139782.9419,2240,3,2,1,1954,Marshall Terrace,Northeast,7991,0,FALSE
2006,11,357379.802,2652,4,2,2.5,1911,Central,Powderhorn,5098,0,FALSE
2013,11,103526.0829,1876,2,1,1.2,1927,Folwell,Camden,5040,0,FALSE
2010,7,177723.8574,2463,4,3,1.5,1917,Como,University,5360,1,TRUE
2013,10,252672.3528,1956,2,1,1.2,1926,Howe,Longfellow,5704,1,TRUE
2013,11,216413.5669,2112,3,1,1.2,1921,Standish,Powderhorn,5080,0,FALSE
2009,7,218529.512,1560,2,1,1.2,1942,Wenonah,Nokomis,5150,0,FALSE
2006,6,274560.8404,2367,4,2,2,1925,Hiawatha,Longfellow,6144,0,FALSE
2006,9,316559.0533,2220,3,1,1.2,1922,Audubon Park,Northeast,5040,1,TRUE
2015,2,368097.7641,2236,3,2,1.5,1940,Keewaydin,Nokomis,5880,0,FALSE
2005,7,297641.8676,1952,3,1,1,1924,Como,University,5080,0,FALSE
2014,5,152353.8102,2183,4,1,1,1994,Shingle Creek,Camden,7540,0,FALSE
2005,9,369487.2113,2094,2,2,1.7,1946,Bryn - Mawr,Calhoun-Isles,7370,2,TRUE
2012,7,646843.9739,3094,4,3,1.5,1939,Cedar - Isles - Dean,Calhoun-Isles,6400,2,TRUE
2008,6,149978.3227,1872,3,1,1.2,1928,Cleveland,Camden,5107,1,TRUE
2009,10,306041.6334,2628,4,2,1.5,1933,Howe,Longfellow,4960,1,TRUE
2011,6,274676.1563,2006,3,1,2,1930,Keewaydin,Nokomis,5120,1,TRUE
2012,7,225464.883,1872,2,1,1.2,1926,Keewaydin,Nokomis,5120,1,TRUE
2014,1,169845.976,1758,2,1,1.5,1907,Powderhorn Park,Powderhorn,4879,0,FALSE
2005,3,360499.6375,2359,3,2,1.5,1946,Armatage,Southwest,5842,1,TRUE
2013,4,230798.8455,1638,3,2,1,1967,Seward,Longfellow,5926,0,FALSE
2005,4,1131390.811,3789,5,2,2.5,1900,Lowry Hill,Calhoun-Isles,6192,2,TRUE
2013,11,192899.9299,1950,3,1,1.5,1909,Windom Park,Northeast,5712,0,FALSE
2013,11,144275.7112,2016,3,2,1.2,1956,Shingle Creek,Camden,5312,0,FALSE
2014,12,109130.928,2232,2,1,1.2,1920,McKinley,Camden,5052,0,FALSE
2006,4,307025.0922,2298,3,2,1.7,1915,Como,University,4960,0,FALSE
2008,10,149707.7076,1824,3,2,1,1924,Howe,Longfellow,5600,0,FALSE
2005,8,479886.5885,2846,4,2,1.5,1936,Diamond Lake,Nokomis,6045,2,TRUE
2010,11,243041.8872,2010,3,3,1.7,1912,Linden Hills,Southwest,5625,1,TRUE
2013,10,937866.8116,3726,4,4,2,1925,Lynnhurst,Southwest,11290,2,TRUE
2008,10,327931.1689,3332,4,3,1,1978,Windom,Southwest,21312,0,FALSE
2014,3,236929.6253,1740,4,2,1.2,1953,Northeast Park,Northeast,6250,0,FALSE
2005,6,272864.8425,1658,2,2,1.2,1924,Cleveland,Camden,4468,0,FALSE
2014,8,247389.8695,2212,3,1,1,1953,Diamond Lake,Nokomis,7036,2,TRUE
2013,4,339246.4959,2481,4,3,1.2,1950,Windom,Southwest,7080,1,TRUE
2009,10,271507.7526,2356,4,2,2.5,1900,Windom Park,Northeast,8280,0,FALSE
2005,4,332762.0031,1914,3,2,1.2,1949,Armatage,Southwest,5080,0,FALSE
2014,3,227207.755,1874,4,1,1.7,1910,Como,University,4960,0,FALSE
2015,7,297755.0165,1948,3,2,1,1919,Northrop,Nokomis,4085,1,TRUE
2008,4,326585.2614,1999,3,2,1.7,1915,Audubon Park,Northeast,5020,0,FALSE
2012,4,114744.9375,1264,1,1,1.2,1922,Morris Park,Nokomis,5120,1,TRUE
2012,9,252227.0156,2592,4,2,1.5,1928,Bottineau,Northeast,6751,0,FALSE
2006,3,156217.8468,928,2,2,1.5,1910,Audubon Park,Northeast,4508,0,FALSE
2013,6,257330.4136,2344,3,2,1.5,1927,Longfellow,Longfellow,6192,2,TRUE
2011,9,147915.1092,2556,4,2,1.5,1926,Folwell,Camden,5124,1,TRUE
2006,9,273334.1223,1188,3,1,1.7,1910,Willard - Hay,Near North,5888,0,FALSE
2013,2,215833.8091,2280,3,1,1.2,1923,Keewaydin,Nokomis,5880,0,FALSE
2011,2,722703.8008,3832,5,4,2,1928,Linden Hills,Southwest,6000,2,TRUE
2009,4,393931.6155,2755,4,2,2.5,1905,Lyndale,Powderhorn,6680,1,TRUE
2007,5,241918.4832,1651,2,1,1.2,1910,Ericsson,Nokomis,5080,0,FALSE
2015,12,792684.0146,2900,4,4,2,2015,Linden Hills,Southwest,7424,1,TRUE
2008,5,313881.8631,2172,3,2,1.7,1908,Seward,Longfellow,5875,0,FALSE
2011,11,693450.5324,4018,4,4,2,1934,Cedar - Isles - Dean,Calhoun-Isles,10880,2,TRUE
2008,9,233762.2171,1376,2,2,1,1920,Howe,Longfellow,5080,0,FALSE
2014,6,511885.4787,3960,4,2,2,1915,Tangletown,Southwest,12550,2,TRUE
2009,6,144042.4601,1620,3,1,1.5,1912,Harrison,Near North,12474,0,FALSE
2013,6,183015.1649,2296,3,1,1.2,1951,Armatage,Southwest,5715,0,FALSE
2013,12,226827.2104,2772,5,3,1.7,1912,King Field,Southwest,5292,0,FALSE
2005,4,665524.0062,2668,3,3,2,1911,Lynnhurst,Southwest,5400,1,TRUE
2007,7,155238.6045,1240,2,1,1.5,1904,Cleveland,Camden,5359,0,FALSE
2013,1,233698.5225,1544,2,1,1.2,1922,Howe,Longfellow,6016,0,FALSE
2015,6,324372.4191,1929,2,1,1.7,1912,East Harriet,Southwest,5334,0,FALSE
2009,8,294269.6354,2136,3,2,1,1955,Armatage,Southwest,6384,2,TRUE
2013,6,376012.9751,2683,3,3,1.2,1941,Waite Park,Northeast,6875,2,TRUE
2007,9,351105.5829,2280,3,1,1.2,1946,Diamond Lake,Nokomis,6105,2,TRUE
2015,10,215817.6442,1596,2,1,1,1925,Field,Nokomis,4440,0,FALSE
2012,10,215819.8292,1800,3,2,1.2,1924,Standish,Powderhorn,5040,0,FALSE
2008,9,217918.9225,1920,4,2,1,1975,St. Anthony West,Northeast,6240,0,FALSE
2009,9,238879.6494,1818,3,1,1.5,1900,Marcy Holmes,University,6105,1,TRUE
2007,3,163268.7736,682,1,1,1,1923,Como,University,5080,0,FALSE
2011,5,312522.9754,2373,3,2,1.2,1937,Diamond Lake,Nokomis,6000,1,TRUE
2013,11,295159.4703,2206,3,2,1,1953,Armatage,Southwest,6350,0,FALSE
2015,8,114813.257,2208,3,1,1.2,1916,McKinley,Camden,5774,0,FALSE
2015,5,432315.7185,2184,3,2,1.2,1921,East Harriet,Southwest,5628,1,TRUE
