section,year,major
Section 02: Prof. Jacob Smith,Sophomore,Mathematics & Computer Science
Section 02: Prof. Jacob Smith,First-year,My intended major is environmental science with a minor in Italian
Section 02: Prof. Jacob Smith,First-year,"Economics, finance, comp sci"
Section 02: Prof. Jacob Smith,Sophomore,"Public Policy, Markets & Management"
Section 02: Prof. Jacob Smith,Sophomore,Earth and Climate Science
Section 02: Prof. Jacob Smith,First-year,Computer science or data science.
Section 02: Prof. Jacob Smith,First-year,Public Policy 
Section 02: Prof. Jacob Smith,First-year,Data science
Section 02: Prof. Jacob Smith,Sophomore,Stats
Section 02: Prof. Jacob Smith,First-year,Public Policy
Section 02: Prof. Jacob Smith,First-year,Environmental Science and Public Policy
Section 02: Prof. Jacob Smith,First-year,Political Science/Data Science/Visual Media
Section 02: Prof. Jacob Smith,Sophomore,Public policy and global health
Section 02: Prof. Jacob Smith,Sophomore,Computer Science
Section 02: Prof. Jacob Smith,First-year,Public Policy
Section 02: Prof. Jacob Smith,First-year,Political Science/Public Policy
Section 02: Prof. Jacob Smith,Junior,Global Health & Public Policy
Section 02: Prof. Jacob Smith,First-year,Unsure
Section 02: Prof. Jacob Smith,First-year,Computer Science and Statistical Science
Section 02: Prof. Jacob Smith,First-year,Data Science
Section 02: Prof. Jacob Smith,Sophomore,Economics/ Environmental Policy
Section 02: Prof. Jacob Smith,First-year,Economics
Section 02: Prof. Jacob Smith,First-year,Statistical Science or Economics
Section 02: Prof. Jacob Smith,Sophomore,Public Policy/ Computer Science
Section 02: Prof. Jacob Smith,First-year,"idk, but probably a mix of pubpol and stat/compsci"
Section 02: Prof. Jacob Smith,Senior,"Statistics, mathematical finance"
Section 02: Prof. Jacob Smith,First-year,Computer Science
Section 02: Prof. Jacob Smith,Sophomore,Public Policy
Section 02: Prof. Jacob Smith,Sophomore,PubPol/Global Health/Bio
Section 02: Prof. Jacob Smith,First-year,Public Policy and maybe Comp Sci or Stats too
Section 02: Prof. Jacob Smith,Senior,Applied mathematics
Section 02: Prof. Jacob Smith,Sophomore,"Computer Science, Electrical and Computer Engineering, Economics, Innovation and Entrepreneurship"
Section 02: Prof. Jacob Smith,Sophomore,"Public Policy (major), History (minor), Economics (minor)"
Section 01: Prof. Alex Fisher,Sophomore,Computer science and Public Policy 
Section 01: Prof. Alex Fisher,First-year,Environmental Science and Policy
Section 01: Prof. Alex Fisher,Sophomore,CS and I&E
Section 01: Prof. Alex Fisher,Junior,Computer Science and Chinese 
Section 01: Prof. Alex Fisher,First-year,Statistical Science
Section 01: Prof. Alex Fisher,Junior,"Sociology, economics"
Section 01: Prof. Alex Fisher,Sophomore,"Comp sci, bio, philosophy, "
Section 01: Prof. Alex Fisher,Sophomore,Computer science
Section 01: Prof. Alex Fisher,First-year,"Interested in Computer Science, Data Science"
Section 01: Prof. Alex Fisher,Sophomore,Environmental Science and Policy; English
Section 01: Prof. Alex Fisher,Sophomore,public policy
Section 01: Prof. Alex Fisher,Sophomore,Computer Science
Section 01: Prof. Alex Fisher,Sophomore,"Neuroscience, German, Linguistics"
Section 01: Prof. Alex Fisher,Sophomore,Premed
Section 01: Prof. Alex Fisher,Sophomore,Compsci and statistics 
Section 01: Prof. Alex Fisher,First-year,Political Science & Environmental Science
Section 01: Prof. Alex Fisher,First-year,Economics/ Political Science/ Maybe Data Science or Statistical Science?
Section 01: Prof. Alex Fisher,First-year,Computer Science 
Section 01: Prof. Alex Fisher,Sophomore,Data Science
Section 01: Prof. Alex Fisher,First-year,Political Science / Public Policy
Section 01: Prof. Alex Fisher,First-year,Chemistry
Section 01: Prof. Alex Fisher,Sophomore,CS
Section 01: Prof. Alex Fisher,First-year,Statistics
Section 01: Prof. Alex Fisher,First-year,Economics
Section 01: Prof. Alex Fisher,First-year,Data Science
Section 01: Prof. Alex Fisher,First-year,"Computer Science, Statistics"
Section 01: Prof. Alex Fisher,First-year,Biology
Section 02: Prof. Jacob Smith,Sophomore,Neuroscience/Premed
Section 02: Prof. Jacob Smith,First-year,Premed
Section 02: Prof. Jacob Smith,Sophomore,Undecided
Section 02: Prof. Jacob Smith,Sophomore,Public Policy/Computer Science
Section 01: Prof. Alex Fisher,First-year,PubPol
Section 01: Prof. Alex Fisher,Sophomore,Comp Sci
Section 02: Prof. Jacob Smith,Sophomore,Biology/Poli Sci
Section 01: Prof. Alex Fisher,First-year,Psychology
Section 01: Prof. Alex Fisher,Sophomore,"Computer Science, Environmental Science"
Section 01: Prof. Alex Fisher,Sophomore,Biology
Section 02: Prof. Jacob Smith,First-year,Psychology 
Section 02: Prof. Jacob Smith,First-year,"Public Policy, Child Policy Certificate "
Section 01: Prof. Alex Fisher,First-year,Economics
Section 01: Prof. Alex Fisher,First-year,Computer Science
Section 01: Prof. Alex Fisher,Junior,Computer Science
Section 01: Prof. Alex Fisher,Sophomore,"Biology, premed"
Section 01: Prof. Alex Fisher,Junior,Political Science Major / Economics Minor
Section 01: Prof. Alex Fisher,Sophomore,Global Health Public Policy Psychology pre-med
Section 01: Prof. Alex Fisher,Sophomore,Computer Science
Section 01: Prof. Alex Fisher,Sophomore,chemistry or neuroscience
Section 01: Prof. Alex Fisher,First-year,Public Policy
Section 01: Prof. Alex Fisher,Junior,"Environmental Science, Psychology, Documentary Studies"
Section 01: Prof. Alex Fisher,First-year,Public Policy/ Statistics or Comp Sci
Section 01: Prof. Alex Fisher,Junior,Public Policy
Section 01: Prof. Alex Fisher,First-year,Public Policy
Section 01: Prof. Alex Fisher,Sophomore,philosophy
Section 01: Prof. Alex Fisher,Sophomore,Psych & pubpol
Section 01: Prof. Alex Fisher,Sophomore,neuroscience
Section 01: Prof. Alex Fisher,First-year,Public Policy and History
Section 01: Prof. Alex Fisher,First-year,Public Policy and African Americans and African Studies
Section 01: Prof. Alex Fisher,First-year,"public policy, marine science and conservation "
Section 01: Prof. Alex Fisher,First-year,Economics
Section 01: Prof. Alex Fisher,Sophomore,"Public policy, economics"
Section 01: Prof. Alex Fisher,Sophomore,Economics + Global Health
Section 01: Prof. Alex Fisher,Sophomore,cs/math
Section 01: Prof. Alex Fisher,First-year,Public Policy and History
Section 01: Prof. Alex Fisher,Junior,Political Science
Section 01: Prof. Alex Fisher,First-year,Undecided
Section 01: Prof. Alex Fisher,First-year,CS / Math
Section 01: Prof. Alex Fisher,Junior,Economics and Psychology
Section 01: Prof. Alex Fisher,Junior,comp sci/psych
Section 01: Prof. Alex Fisher,Sophomore,Economics Major potentially Statistics minor
Section 01: Prof. Alex Fisher,First-year,"I do not know my major yet.  My academic interests are in computer science, and the intersection of mental health and art."
Section 01: Prof. Alex Fisher,First-year,Political Science
Section 01: Prof. Alex Fisher,Junior,Public Policy
Section 01: Prof. Alex Fisher,First-year,public policy and Chinese
Section 01: Prof. Alex Fisher,First-year,Political Science
Section 01: Prof. Alex Fisher,First-year,Economics and Public policy/ political science 
