year,animal,tv,major
First-year,Dogs,Anime,Statistical Science
Junior,Cats,Anime,Not Statistical Science
Junior,Dogs,Sports,Statistical Science
Senior,Cats,News,Not Statistical Science
First-year,Dogs,Thriller,Not Statistical Science
First-year,Dogs,Anime,Not Statistical Science
First-year,Dogs,Comedy,Not Statistical Science
Sophomore,Dogs,Sports,Not Statistical Science
Sophomore,Dogs,Drama,Not Statistical Science
Sophomore,Dogs,Drama,Not Statistical Science
Senior,Dogs,Drama,Not Statistical Science
Junior,Dogs,Comedy,Not Statistical Science
First-year,Dogs,Drama,Statistical Science
Sophomore,Dogs,Action/Adventure,Not Statistical Science
Sophomore,Dogs,Anime,Not Statistical Science
First-year,Dogs,Drama,Not Statistical Science
First-year,Dogs,Comedy,Statistical Science
First-year,Dogs,Thriller,Not Statistical Science
First-year,Dogs,Comedy,Not Statistical Science
First-year,Cats,Drama,Not Statistical Science
First-year,Dogs,Comedy,Not Statistical Science
Sophomore,Dogs,Drama,Not Statistical Science
Sophomore,Dogs,Drama,Not Statistical Science
First-year,Dogs,Sports,Not Statistical Science
First-year,Dogs,Sports,Not Statistical Science
First-year,Dogs,Drama,Not Statistical Science
First-year,Dogs,Sports,Not Statistical Science
First-year,Dogs,Action/Adventure,Not Statistical Science
First-year,Dogs,Anime,Not Statistical Science
Senior,Dogs,Thriller,Not Statistical Science
First-year,Dogs,Sports,Statistical Science
First-year,Dogs,Sports,Not Statistical Science
First-year,Dogs,Drama,Not Statistical Science
Sophomore,Dogs,Drama,Not Statistical Science
First-year,Dogs,Comedy,Not Statistical Science
First-year,Dogs,Drama,Not Statistical Science
Junior,Dogs,Anime,Not Statistical Science
First-year,Cats,Anime,Not Statistical Science
First-year,Dogs,Thriller,Not Statistical Science
First-year,Dogs,Anime,Not Statistical Science
First-year,Dogs,Drama,Statistical Science
Sophomore,Cats,Action/Adventure,Not Statistical Science
First-year,Dogs,Action/Adventure,Not Statistical Science
First-year,Dogs,Comedy,Not Statistical Science
