id,host_id,neighbourhood,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,bedrooms,review_scores_rating
5269,7620,South Kohala,Hawaii,Entire home/apt,149,3,6,1,4.53
5387,7878,South Kona,Hawaii,Entire home/apt,85,5,18,1,4.65
5389,7878,North Kona,Hawaii,Entire home/apt,299,6,12,3,4.84
5434,7984,North Shore Kauai,Kauai,Entire home/apt,425,2,26,3,4.77
5930,10768,Koloa-Poipu,Kauai,Private room,140,3,27,1,4.67
7896,21844,Kihei-Makena,Maui,Entire home/apt,151,4,12,1,4.56
8833,21349,North Kona,Hawaii,Entire home/apt,98,3,36,2,4.45
13238,51647,North Shore Kauai,Kauai,Entire home/apt,139,3,19,NA,4.4
13523,52931,Koolaupoko,Honolulu,Entire home/apt,376,7,4,2,4.89
13527,52967,North Kona,Hawaii,Entire home/apt,169,30,0,1,3.83
13528,52969,Kihei-Makena,Maui,Entire home/apt,200,1,23,2,4.76
13688,53657,Puna,Hawaii,Entire home/apt,279,3,7,2,4.88
13799,54237,Kihei-Makena,Maui,Entire home/apt,125,2,34,1,4.77
13899,54660,Lahaina,Maui,Entire home/apt,345,7,3,1,4.73
13900,54663,Puna,Hawaii,Entire home/apt,86,3,18,2,4.35
13901,54663,Puna,Hawaii,Entire home/apt,60,3,28,NA,4.59
13933,54814,Puna,Hawaii,Entire home/apt,204,1,20,3,4.75
14512,53363,North Shore Kauai,Kauai,Entire home/apt,399,1,4,2,4.75
14513,53363,North Shore Kauai,Kauai,Entire home/apt,399,1,9,2,4.82
15648,12729,South Kona,Hawaii,Entire home/apt,125,10,9,1,4.86
15757,61673,Lahaina,Maui,Entire home/apt,135,3,26,1,4.47
16914,65594,Lahaina,Maui,Entire home/apt,144,6,16,2,4.75
18465,71120,Primary Urban Center,Honolulu,Entire home/apt,192,7,7,1,4.8
18466,71120,Primary Urban Center,Honolulu,Entire home/apt,198,7,9,1,4.85
19416,32184,North Kona,Hawaii,Entire home/apt,259,1,49,2,4.81
20562,77633,Primary Urban Center,Honolulu,Entire home/apt,122,1,25,NA,4.88
23639,93320,North Shore Oahu,Honolulu,Entire home/apt,938,5,15,3,4.84
23814,94828,Puna,Hawaii,Entire home/apt,95,3,38,2,4.73
24119,94828,Puna,Hawaii,Private room,58,3,20,1,4.62
24161,97342,Lahaina,Maui,Entire home/apt,151,1,42,1,4.42
24500,99312,Kihei-Makena,Maui,Entire home/apt,164,2,47,1,4.86
30236,130393,Kihei-Makena,Maui,Entire home/apt,134,5,16,NA,4.55
35084,150997,Puna,Hawaii,Entire home/apt,449,3,14,3,4.8
36789,158713,South Kona,Hawaii,Private room,164,1,63,1,4.98
36877,159123,South Kona,Hawaii,Entire home/apt,158,2,18,NA,4.63
37099,85234,Primary Urban Center,Honolulu,Entire home/apt,125,3,22,NA,4.79
38634,165595,Primary Urban Center,Honolulu,Private room,250,2,41,1,4.85
38944,167085,North Shore Oahu,Honolulu,Entire home/apt,180,30,1,1,4.83
39898,12729,South Kona,Hawaii,Entire home/apt,125,30,5,1,4.87
40298,173185,Paia-Haiku,Maui,Entire home/apt,385,7,10,2,4.9
40803,176324,Kihei-Makena,Maui,Entire home/apt,250,4,31,1,4.92
46473,207897,Kihei-Makena,Maui,Entire home/apt,190,2,37,1,4.86
46477,207897,Kihei-Makena,Maui,Entire home/apt,395,1,15,2,4.61
54047,1793811,Kihei-Makena,Maui,Entire home/apt,600,5,14,3,4.58
55000,259083,Waianae,Honolulu,Entire home/apt,99,30,8,2,4.65
55990,265004,Puna,Hawaii,Entire home/apt,180,3,9,3,4.95
56024,265302,North Shore Kauai,Kauai,Entire home/apt,750,2,4,5,4.94
57640,265004,Puna,Hawaii,Entire home/apt,170,3,17,3,4.9
57642,265004,Puna,Hawaii,Entire home/apt,170,3,33,1,4.95
59674,10768,Koloa-Poipu,Kauai,Private room,175,3,14,1,4.62
66800,10768,Koloa-Poipu,Kauai,Private room,150,3,14,1,4.7
66919,93320,North Shore Oahu,Honolulu,Entire home/apt,546,5,16,3,4.68
67431,1196996,Puna,Hawaii,Entire home/apt,112,3,16,1,4.83
68045,10363580,Koolauloa,Honolulu,Entire home/apt,319,1,48,2,4.63
69794,351008,North Kona,Hawaii,Private room,139,3,10,1,4.93
71385,365193,North Shore Kauai,Kauai,Entire home/apt,391,30,3,3,4.79
74862,207897,Kihei-Makena,Maui,Entire home/apt,231,2,25,1,4.71
79790,430276,Puna,Hawaii,Entire home/apt,112,3,5,1,4.87
81566,442490,North Shore Oahu,Honolulu,Entire home/apt,228,3,10,2,4.65
81582,442698,Puna,Hawaii,Entire home/apt,139,4,16,2,4.98
83221,451536,Puna,Hawaii,Entire home/apt,123,3,24,1,4.93
84405,461037,Lahaina,Maui,Entire home/apt,405,3,10,3,4.48
84458,461570,North Kona,Hawaii,Entire home/apt,75,4,26,1,4.82
85701,469871,Lahaina,Maui,Entire home/apt,235,3,0,1,5
87596,479545,South Hilo,Hawaii,Entire home/apt,120,2,51,1,4.93
87671,328451,North Shore Oahu,Honolulu,Entire home/apt,497,7,0,2,4.6
91091,492687,North Shore Kauai,Kauai,Private room,550,1,0,1,5
102918,492687,Lahaina,Maui,Private room,550,2,1,1,4.84
104447,71120,Primary Urban Center,Honolulu,Entire home/apt,85,180,1,1,4.75
104452,71120,Primary Urban Center,Honolulu,Entire home/apt,88,30,1,NA,4.55
112698,430276,Puna,Hawaii,Entire home/apt,105,13,4,1,4.77
118560,295585,South Kona,Hawaii,Entire home/apt,179,1,82,1,4.88
125968,7620,South Kohala,Hawaii,Entire home/apt,125,5,1,1,4.65
138781,677327,Primary Urban Center,Honolulu,Private room,85,3,25,1,4.52
152046,85234,Primary Urban Center,Honolulu,Entire home/apt,105,4,18,NA,4.67
152645,710680,North Shore Kauai,Kauai,Entire home/apt,83,3,10,1,4.52
153304,710680,North Shore Kauai,Kauai,Entire home/apt,150,3,10,2,4.66
153397,710680,North Shore Kauai,Kauai,Entire home/apt,210,3,1,3,4.75
155360,747055,Paia-Haiku,Maui,Entire home/apt,371,6,14,3,4.9
162600,756093,Kapaa-Wailua,Kauai,Entire home/apt,597,1,1,2,4.94
164132,783033,Ewa,Honolulu,Entire home/apt,690,6,20,3,4.87
164963,770461,North Shore Oahu,Honolulu,Entire home/apt,750,7,3,2,4.81
168169,801306,North Kona,Hawaii,Entire home/apt,155,3,24,2,4.6
168203,7683071,North Kona,Hawaii,Entire home/apt,95,3,19,1,4.61
168205,801578,Puna,Hawaii,Entire home/apt,233,1,27,3,4.87
181179,868371,North Kona,Hawaii,Entire home/apt,150,5,20,2,4.89
181270,868371,North Kona,Hawaii,Entire home/apt,124,5,4,1,4.64
181989,872202,Lahaina,Maui,Entire home/apt,306,3,41,1,4.78
190090,917684,North Kona,Hawaii,Entire home/apt,358,4,30,2,4.93
190231,917684,North Kona,Hawaii,Entire home/apt,226,3,10,1,4.97
192610,932861,Paia-Haiku,Maui,Entire home/apt,270,7,2,1,4.7
195220,87832401,Lahaina,Maui,Entire home/apt,221,3,16,2,4.85
195296,949649,North Kona,Hawaii,Entire home/apt,145,3,20,1,4.69
198495,968664,Koolaupoko,Honolulu,Entire home/apt,308,30,12,3,4.79
198657,968664,Koolaupoko,Honolulu,Entire home/apt,308,30,11,3,4.47
198734,970293,Puna,Hawaii,Entire home/apt,155,1,8,3,4.65
200441,980100,Kihei-Makena,Maui,Private room,236,1,7,1,4.78
201618,986776,North Kona,Hawaii,Entire home/apt,398,7,11,3,4.9
202338,6572873,Puna,Hawaii,Entire home/apt,149,1,58,1,4.78
204711,997199,South Kona,Hawaii,Entire home/apt,225,3,0,2,4.97
205599,1010934,North Kohala,Hawaii,Entire home/apt,165,2,0,1,4.88
205622,1010934,North Kohala,Hawaii,Entire home/apt,376,5,14,3,4.96
205804,12729,South Kona,Hawaii,Entire home/apt,95,30,2,1,4.75
210058,498638,Puna,Hawaii,Entire home/apt,100,5,4,1,4.81
210968,1040710,North Shore Oahu,Honolulu,Entire home/apt,192,2,48,1,4.66
216766,1118742,Lahaina,Maui,Entire home/apt,263,1,1,2,4.62
218378,547507,Lahaina,Maui,Entire home/apt,250,1,5,1,4.75
218666,1131224,Kihei-Makena,Maui,Entire home/apt,2060,5,25,1,4.79
222203,158713,South Kona,Hawaii,Private room,175,1,23,1,4.99
223390,167085,North Shore Oahu,Honolulu,Entire home/apt,210,30,1,1,4.84
227594,1187199,North Shore Oahu,Honolulu,Private room,125,30,0,1,4.62
227803,1188354,North Kona,Hawaii,Entire home/apt,151,5,13,1,4.73
229954,1201408,Koolauloa,Honolulu,Entire home/apt,611,5,6,3,4.86
230529,1173582,Puna,Hawaii,Entire home/apt,130,3,31,1,4.97
230577,1205120,East Honolulu,Honolulu,Private room,100,30,3,1,4.85
234499,461570,North Kona,Hawaii,Entire home/apt,81,5,20,1,4.88
238177,1249214,Puna,Hawaii,Entire home/apt,200,1,23,2,4.8
238797,1251758,Waimea-Kekaha,Kauai,Entire home/apt,300,3,12,3,4.79
239370,1255224,Primary Urban Center,Honolulu,Entire home/apt,133,2,14,1,4.56
245691,929580,North Kona,Hawaii,Hotel room,265,2,3,1,5
248735,7984,North Shore Kauai,Kauai,Entire home/apt,395,2,35,2,4.96
251343,1318188,Puna,Hawaii,Entire home/apt,365,2,16,5,4.82
253427,1330563,Molokai,Maui,Entire home/apt,159,6,9,1,4.9
256422,1348821,North Shore Oahu,Honolulu,Entire home/apt,150,30,6,NA,4.85
257196,929580,North Kona,Hawaii,Hotel room,221,1,14,1,5
258691,1359866,South Hilo,Hawaii,Entire home/apt,246,4,20,2,4.89
262648,1378424,North Shore Kauai,Kauai,Entire home/apt,137,2,37,1,4.83
263442,1382491,East Honolulu,Honolulu,Entire home/apt,299,5,19,2,4.96
266804,1399029,Wailuku-Kahului,Maui,Entire home/apt,200,5,4,2,4.63
268423,1512250,Kihei-Makena,Maui,Entire home/apt,130,1,62,NA,4.84
270799,1417464,Kihei-Makena,Maui,Entire home/apt,192,5,23,1,4.88
274808,1118742,Lahaina,Maui,Entire home/apt,253,1,17,1,4.63
274810,1436625,Kau,Hawaii,Entire home/apt,295,1,1,3,4.54
274864,1436625,Kau,Hawaii,Entire home/apt,250,1,0,3,4.2
278204,1452413,Paia-Haiku,Maui,Entire home/apt,137,3,15,1,4.48
283017,1474347,South Kona,Hawaii,Entire home/apt,180,1,77,1,4.8
283375,1411093,North Kona,Hawaii,Private room,133,2,11,1,4.92
285009,207897,Kihei-Makena,Maui,Entire home/apt,215,2,38,1,4.79
286807,1486449,Makawao-Pukalani-Kula,Maui,Private room,301,181,0,1,4.57
288161,1205120,East Honolulu,Honolulu,Private room,100,30,9,1,4.79
289022,1436625,Kau,Hawaii,Entire home/apt,175,1,0,2,3
289023,1436625,Kau,Hawaii,Entire home/apt,99,1,27,1,4.49
293054,1516971,North Kona,Hawaii,Entire home/apt,200,5,5,2,4.5
297648,1534698,Puna,Hawaii,Entire home/apt,170,3,0,1,4.95
