abbrev,2020pop,2020economicoutlook
AL,5024279,23
AK,733391,26
AZ,7151502,10
AR,3011524,22
CA,39538223,46
CO,5773714,18
CT,3605944,40
DE,989948,24
DC,689545,NA
FL,21538187,7
GA,10711908,21
HI,1455271,44
ID,1839106,3
IL,12812508,47
IN,6785528,4
IA,3190369,27
KS,2937880,25
KY,4505836,31
LA,4657757,30
ME,1362359,41
MD,6177224,37
MA,7029917,35
MI,10077331,14
MN,5706494,45
MS,2961279,20
MO,6154913,19
MT,1084225,33
NE,1961504,36
NV,3104614,6
NH,1377529,17
NJ,9288994,48
NM,2117522,34
NY,20201249,50
NC,10439388,5
ND,779094,11
OH,11799448,29
OK,3959353,9
OR,4237256,42
PA,13002700,38
RI,1097379,43
SC,5118425,32
SD,886667,13
TN,6910840,8
TX,29145505,15
UT,3271616,1
VT,643077,49
VA,8631393,16
WA,7705281,39
WV,1793716,28
WI,5893718,12
WY,576851,2
