Respondent id number,indus,altenergy
1,Extremely dangerous,Too little
6,Extremely dangerous,About right
11,Very dangerous,About right
13,Very dangerous,About right
16,Extremely dangerous,Don't know
18,Very dangerous,Don't know
21,Extremely dangerous,Too little
24,Extremely dangerous,Too little
25,Extremely dangerous,Too little
27,Extremely dangerous,Too little
34,Very dangerous,Too little
37,Extremely dangerous,Too little
40,Extremely dangerous,Too little
42,Somewhat dangerous,About right
50,Extremely dangerous,Too little
52,Extremely dangerous,Too little
58,Extremely dangerous,Don't know
61,Very dangerous,About right
63,Extremely dangerous,Too little
64,Extremely dangerous,Too little
66,Very dangerous,Too little
67,Somewhat dangerous,About right
69,Extremely dangerous,Too little
73,Extremely dangerous,Too little
76,Extremely dangerous,About right
81,Extremely dangerous,Too little
82,Extremely dangerous,Too little
84,Extremely dangerous,Too little
92,Extremely dangerous,Too little
95,Extremely dangerous,Too little
98,Extremely dangerous,About right
101,Somewhat dangerous,Too much
102,Very dangerous,Don't know
106,Very dangerous,About right
116,Somewhat dangerous,Too little
120,Somewhat dangerous,About right
122,Very dangerous,About right
125,Extremely dangerous,Too little
127,Extremely dangerous,Too little
129,Extremely dangerous,Too little
132,Extremely dangerous,About right
137,Extremely dangerous,About right
140,Very dangerous,About right
143,Very dangerous,Too little
146,Somewhat dangerous,Too little
149,Somewhat dangerous,About right
157,Very dangerous,About right
158,Somewhat dangerous,About right
160,Not dangerous,About right
163,Extremely dangerous,Don't know
165,Extremely dangerous,Too little
168,Not dangerous,Too much
170,Very dangerous,About right
177,Extremely dangerous,Too little
180,Very dangerous,About right
183,Very dangerous,Too little
185,Very dangerous,About right
188,Extremely dangerous,About right
194,Very dangerous,Too little
196,Somewhat dangerous,About right
198,Extremely dangerous,Too little
200,Very dangerous,Too little
201,Very dangerous,About right
202,Very dangerous,Too little
204,Extremely dangerous,Too little
207,Very dangerous,About right
213,Extremely dangerous,About right
216,Extremely dangerous,About right
219,Extremely dangerous,Too much
223,Extremely dangerous,Too little
225,Somewhat dangerous,Too much
227,Very dangerous,Too much
234,Very dangerous,About right
237,Extremely dangerous,Too little
240,Somewhat dangerous,About right
244,Somewhat dangerous,About right
246,Somewhat dangerous,About right
250,Very dangerous,About right
255,Very dangerous,Too much
256,Don't know,Too little
258,Extremely dangerous,Too little
259,Not dangerous,Too much
261,Extremely dangerous,Too little
265,Very dangerous,Too little
270,Extremely dangerous,Too little
272,Not dangerous,Too little
274,Extremely dangerous,Too little
281,Extremely dangerous,Too little
284,Somewhat dangerous,About right
288,Somewhat dangerous,About right
290,Very dangerous,About right
294,Very dangerous,About right
296,Extremely dangerous,About right
298,Extremely dangerous,Too little
299,Very dangerous,Too little
303,Very dangerous,Too little
306,Extremely dangerous,About right
311,Somewhat dangerous,Too little
312,Extremely dangerous,Too little
315,Somewhat dangerous,Too little
317,Somewhat dangerous,About right
320,Extremely dangerous,Too little
322,Somewhat dangerous,About right
323,Not dangerous,Don't know
327,Extremely dangerous,Too little
335,Very dangerous,About right
336,Somewhat dangerous,Too little
342,Somewhat dangerous,Too little
345,Somewhat dangerous,About right
348,Extremely dangerous,Too little
349,Extremely dangerous,About right
352,Somewhat dangerous,About right
354,Extremely dangerous,About right
355,Very dangerous,About right
359,Very dangerous,About right
362,Very dangerous,Too little
364,Very dangerous,Too little
367,Extremely dangerous,Too little
370,Very dangerous,About right
371,Not dangerous,About right
373,Extremely dangerous,Too little
375,Somewhat dangerous,Too little
378,Somewhat dangerous,Too much
379,Very dangerous,Too little
383,Extremely dangerous,Too little
385,Extremely dangerous,Too little
386,Extremely dangerous,Too little
388,Very dangerous,Too little
393,Very dangerous,Too little
395,Very dangerous,Too little
399,Extremely dangerous,Too little
400,Somewhat dangerous,About right
405,Somewhat dangerous,About right
407,Extremely dangerous,About right
410,Somewhat dangerous,About right
412,Very dangerous,About right
413,Very dangerous,About right
416,Very dangerous,Too little
420,Very dangerous,Too little
428,Very dangerous,Too little
430,Very dangerous,Too much
435,Not dangerous,About right
436,Extremely dangerous,Too little
437,Very dangerous,Too little
444,Extremely dangerous,Too little
448,Extremely dangerous,Too little
451,Very dangerous,Too little
455,Extremely dangerous,Too little
456,Very dangerous,Too little
459,Extremely dangerous,About right
465,Somewhat dangerous,About right
469,Extremely dangerous,About right
471,Extremely dangerous,Too little
473,Extremely dangerous,About right
479,Somewhat dangerous,Too little
483,Extremely dangerous,Too little
485,Not dangerous,About right
487,Extremely dangerous,Too little
496,Very dangerous,About right
500,Not dangerous,Too little
502,Extremely dangerous,About right
508,Very dangerous,Too little
512,Very dangerous,Too little
513,Very dangerous,Too little
514,Very dangerous,About right
515,Somewhat dangerous,Too much
518,Very dangerous,Too little
524,Extremely dangerous,Too little
527,Very dangerous,Too little
529,Extremely dangerous,About right
531,Extremely dangerous,About right
535,Somewhat dangerous,About right
538,Somewhat dangerous,Too little
540,Extremely dangerous,Don't know
543,Very dangerous,Too little
547,Very dangerous,About right
548,Very dangerous,About right
549,Somewhat dangerous,Too little
550,Extremely dangerous,About right
551,Very dangerous,Too little
553,Extremely dangerous,About right
556,Somewhat dangerous,Too much
563,Extremely dangerous,About right
564,Very dangerous,Too little
568,Extremely dangerous,Too little
576,Extremely dangerous,About right
580,Somewhat dangerous,About right
582,Extremely dangerous,Too little
589,Extremely dangerous,About right
597,Somewhat dangerous,About right
601,Very dangerous,Too little
604,Extremely dangerous,Too little
606,Extremely dangerous,Too little
608,Very dangerous,About right
610,Somewhat dangerous,About right
611,Somewhat dangerous,About right
613,Somewhat dangerous,Too little
622,Very dangerous,About right
624,Extremely dangerous,About right
625,Somewhat dangerous,Too little
629,Very dangerous,Too little
630,Extremely dangerous,Too little
635,Very dangerous,About right
638,Extremely dangerous,Too little
641,Somewhat dangerous,About right
644,Extremely dangerous,Too little
647,Somewhat dangerous,Too little
650,Somewhat dangerous,Too much
652,Extremely dangerous,Too little
653,Very dangerous,Too little
660,Extremely dangerous,Too little
662,Extremely dangerous,Too little
664,Very dangerous,About right
665,Extremely dangerous,Too little
674,Very dangerous,About right
675,Extremely dangerous,About right
677,Somewhat dangerous,Too little
680,Extremely dangerous,Don't know
683,Extremely dangerous,Too little
687,Extremely dangerous,About right
688,Extremely dangerous,About right
690,Very dangerous,Too little
693,Extremely dangerous,Too little
694,Very dangerous,About right
696,Very dangerous,About right
704,Extremely dangerous,About right
706,Extremely dangerous,Too little
708,Very dangerous,Too little
710,Somewhat dangerous,About right
711,Somewhat dangerous,About right
713,Extremely dangerous,Too little
719,Extremely dangerous,Too little
720,Somewhat dangerous,Too little
725,Very dangerous,About right
728,Very dangerous,About right
731,Extremely dangerous,Too little
734,Very dangerous,Too little
735,Extremely dangerous,About right
744,Extremely dangerous,About right
746,Extremely dangerous,About right
750,Extremely dangerous,About right
755,Not dangerous,Too little
757,Very dangerous,About right
759,Very dangerous,About right
760,Very dangerous,About right
762,Very dangerous,Too little
765,Extremely dangerous,Too little
767,Very dangerous,About right
768,Very dangerous,Too little
772,Very dangerous,Too little
773,Somewhat dangerous,Don't know
774,Extremely dangerous,Too little
777,Extremely dangerous,Too little
784,Extremely dangerous,About right
786,Extremely dangerous,About right
788,Extremely dangerous,About right
789,Extremely dangerous,Too little
791,Extremely dangerous,About right
793,Very dangerous,About right
798,Very dangerous,Too little
800,Very dangerous,Too little
803,Very dangerous,Too little
805,Very dangerous,About right
807,Very dangerous,Too little
817,Somewhat dangerous,Too little
827,Somewhat dangerous,Too little
828,Very dangerous,About right
838,Not dangerous,Too little
841,Very dangerous,Don't know
844,Very dangerous,About right
846,Extremely dangerous,Too little
849,Very dangerous,About right
854,Extremely dangerous,Too little
855,Extremely dangerous,Too little
857,Very dangerous,Too little
862,Very dangerous,Too little
866,Extremely dangerous,About right
870,Extremely dangerous,Too little
873,Extremely dangerous,Too little
874,Extremely dangerous,Too little
877,Somewhat dangerous,Too little
880,Extremely dangerous,Too little
883,Extremely dangerous,Too little
885,Extremely dangerous,Too little
888,Very dangerous,Don't know
892,Very dangerous,Too little
896,Very dangerous,Too little
897,Very dangerous,Too little
900,Extremely dangerous,Too little
905,Extremely dangerous,Too little
908,Very dangerous,About right
909,Very dangerous,Too little
912,Extremely dangerous,Don't know
916,Very dangerous,About right
922,Not dangerous,Too little
924,Somewhat dangerous,Too little
925,Extremely dangerous,Too little
927,Very dangerous,Too little
930,Extremely dangerous,Too little
933,Very dangerous,Too much
937,Somewhat dangerous,Too little
939,Extremely dangerous,Too little
944,Extremely dangerous,Too little
947,Very dangerous,Too little
950,Extremely dangerous,Too little
952,Very dangerous,Too little
955,Very dangerous,Too little
958,Very dangerous,About right
961,Very dangerous,About right
966,Extremely dangerous,Too little
968,Very dangerous,Too little
975,Extremely dangerous,Too little
979,Very dangerous,Too little
982,Very dangerous,About right
984,Very dangerous,Too little
986,Very dangerous,Too little
987,Very dangerous,Too little
991,Extremely dangerous,Don't know
993,Extremely dangerous,Too little
995,Very dangerous,About right
1000,Very dangerous,About right
1011,Very dangerous,About right
1014,Extremely dangerous,Too little
1017,Not dangerous,About right
1019,Extremely dangerous,About right
1023,Very dangerous,Too little
1025,Somewhat dangerous,About right
1027,Very dangerous,About right
1029,Somewhat dangerous,Too little
1031,Somewhat dangerous,About right
1035,Extremely dangerous,Too little
1039,Very dangerous,Too little
1040,Very dangerous,About right
1042,Extremely dangerous,Too little
1043,Very dangerous,Too little
1045,Very dangerous,Too little
1046,Extremely dangerous,Too little
1051,Very dangerous,Too little
1053,Very dangerous,About right
1056,Very dangerous,About right
1059,Very dangerous,Too little
1061,Not dangerous,About right
1063,Extremely dangerous,Too little
1065,Very dangerous,Too much
1069,Somewhat dangerous,Too little
1074,Extremely dangerous,Too much
1078,Very dangerous,Too little
1080,Very dangerous,Too little
1082,Extremely dangerous,Too little
1087,Very dangerous,About right
1091,Not dangerous,About right
1094,Very dangerous,Too little
1098,Very dangerous,Too little
1099,Very dangerous,About right
1101,Very dangerous,Too little
1104,Not dangerous,About right
1107,Somewhat dangerous,Too little
1109,Very dangerous,Too little
1111,Extremely dangerous,Too little
1115,Extremely dangerous,Too little
1117,Extremely dangerous,Too little
1119,Extremely dangerous,About right
1122,Somewhat dangerous,About right
1123,Extremely dangerous,Too little
1125,Somewhat dangerous,About right
1130,Somewhat dangerous,Too little
1132,Very dangerous,Too little
1136,Not dangerous,About right
1140,Very dangerous,Too little
1143,Extremely dangerous,Too little
1148,Very dangerous,About right
1151,Somewhat dangerous,Too much
1154,Very dangerous,Too little
1156,Extremely dangerous,Too little
1159,Very dangerous,Too little
1161,Very dangerous,About right
1164,Somewhat dangerous,About right
1167,Very dangerous,About right
1170,Extremely dangerous,About right
1171,Somewhat dangerous,Too little
1173,Very dangerous,Too little
1176,Extremely dangerous,Too little
1178,Extremely dangerous,Too little
1182,Somewhat dangerous,Too much
1185,Not dangerous,About right
1190,Somewhat dangerous,About right
1193,Somewhat dangerous,Don't know
1198,Very dangerous,About right
1200,Extremely dangerous,About right
1204,Very dangerous,About right
1209,Not dangerous,Too little
1211,Very dangerous,About right
1213,Extremely dangerous,Too little
1217,Very dangerous,About right
1221,Somewhat dangerous,About right
1228,Extremely dangerous,Too little
1231,Very dangerous,Don't know
1232,Somewhat dangerous,Too little
1234,Extremely dangerous,Too little
1237,Somewhat dangerous,About right
1242,Very dangerous,Too little
1245,Not dangerous,About right
1251,Somewhat dangerous,About right
1253,Extremely dangerous,Don't know
1254,Very dangerous,Too little
1257,Extremely dangerous,Too little
1258,Very dangerous,Too little
1261,Somewhat dangerous,Too little
1267,Very dangerous,Don't know
1269,Extremely dangerous,Too little
1271,Very dangerous,Too little
1275,Very dangerous,Too little
1277,Extremely dangerous,Too much
1280,Extremely dangerous,About right
